path,version_bucket,stage_hint,script_status,suffix,byte_size,n_imports_or_modules,imports_or_modules,n_local_path_mentions,local_path_mentions,n_output_path_mentions,output_path_mentions,physical_move_recommended_now,path_policy
scripts/causal_graph_latent_jacobian.py,unclassified,,review_before_move,.py,10662,11,__future__|anndata|argparse|numpy|pandas|pathlib|scipy|sea_ad_jepa|sys|torch|torch_geometric,3,data/processed/sea_ad_mtg_microglia_pvm_all_hvg3k_expanded_modules.h5ad|results/tables/jepa_v2_translational_actionability_matrix.csv|results/tables/v2_graph_string_edges_t700.csv,2,results/tables/jepa_v2_translational_actionability_matrix.csv|results/tables/v2_graph_string_edges_t700.csv,false,path_stable_or_wrapper_required
scripts/causal_in_silico_knockout.py,unclassified,,review_before_move,.py,10708,9,__future__|anndata|argparse|numpy|pandas|pathlib|scipy|sea_ad_jepa|torch,2,results/tables/causal_module_knockouts.csv|results/tables/causal_module_knockouts_by_donor.csv,2,results/tables/causal_module_knockouts.csv|results/tables/causal_module_knockouts_by_donor.csv,false,path_stable_or_wrapper_required
scripts/causal_latent_jacobian.py,unclassified,,review_before_move,.py,8441,9,__future__|anndata|argparse|numpy|pandas|pathlib|scipy|sea_ad_jepa|torch,3,results/tables/latent_jacobian_matrix.csv|results/tables/latent_jacobian_top_edges.csv|results/tables/latent_module_annotations.csv,3,results/tables/latent_jacobian_matrix.csv|results/tables/latent_jacobian_top_edges.csv|results/tables/latent_module_annotations.csv,false,path_stable_or_wrapper_required
scripts/check_download_progress.ps1,unclassified,,review_before_move,.ps1,746,0,,1,data/raw/snrna/SEAAD_MTG_RNAseq_final-nuclei.2024-02-13.h5ad*,0,,false,path_stable_or_wrapper_required
scripts/check_gpu.py,unclassified,,review_before_move,.py,872,3,__future__|platform|torch,0,,0,,false,path_stable_or_wrapper_required
scripts/check_graph_jepa_v2_inputs.py,v2,,legacy_reference,.py,2186,6,__future__|argparse|pandas|pathlib|sea_ad_jepa|sys,4,data/processed/sea_ad_mtg_microglia_pvm_all_hvg3k_expanded_modules.h5ad|results/tables/graph_jepa_v2_input_check.csv|results/tables/jepa_v2_translational_actionability_matrix.csv|results/tables/v2_graph_consensus_edge_index.csv,3,results/tables/graph_jepa_v2_input_check.csv|results/tables/jepa_v2_translational_actionability_matrix.csv|results/tables/v2_graph_consensus_edge_index.csv,false,path_stable_or_wrapper_required
scripts/classify_stage39h_feature_blocks_v1.py,v3,stage39h,review_before_move,.py,2887,2,__future__|dataclasses,0,,0,,false,path_stable_or_wrapper_required
scripts/classify_stage41_feature_risk_tiers_v1.py,v3,stage41,review_before_move,.py,2042,2,__future__|dataclasses,1,data/context,0,,false,path_stable_or_wrapper_required
scripts/collect_stage43_manuscript_evidence_v1.py,v3,stage43,review_before_move,.py,130,2,__future__|run_stage43_manuscript_draft_package_v1,0,,0,,false,path_stable_or_wrapper_required
scripts/collect_stage47_cross_version_evidence_v1.py,v3,stage47,review_before_move,.py,152,2,__future__|run_stage47_cross_version_candidate_network_drug_synthesis_v1,0,,0,,false,path_stable_or_wrapper_required
scripts/compare_external_projection_runs.py,unclassified,,review_before_move,.py,1780,4,__future__|argparse|pandas|pathlib,0,,0,,false,path_stable_or_wrapper_required
scripts/compare_pathology_results.py,unclassified,,review_before_move,.py,1406,4,__future__|argparse|pandas|pathlib,1,results/tables/pathology_model_comparison.csv,1,results/tables/pathology_model_comparison.csv,false,path_stable_or_wrapper_required
scripts/compare_representation_geometry.py,unclassified,,review_before_move,.py,13280,12,__future__|anndata|argparse|matplotlib|numpy|pandas|pathlib|scipy|sea_ad_jepa|sklearn|torch|umap,5,data/processed/sea_ad_mtg_microglia_pvm_all_hvg3k_expanded_modules.h5ad|results/figures/representation_geometry|results/models/microglia_pvm_jepa_ema_var_expanded_balanced_e40/gene_jepa_epoch_030.pt|results/tables/representation_geometry_cell_embeddings.csv|results/tables/representation_geometry_metrics.csv,4,results/figures/representation_geometry|results/models/microglia_pvm_jepa_ema_var_expanded_balanced_e40/gene_jepa_epoch_030.pt|results/tables/representation_geometry_cell_embeddings.csv|results/tables/representation_geometry_metrics.csv,false,path_stable_or_wrapper_required
