dataset,state_label,metric,target,spearman,n_donors
DLPFC,Micro-PVM_2_2-SEAAD,disease_program_q95,6e10/A_beta,-0.0462733714676001,52
DLPFC,Micro-PVM_2_2-SEAAD,state_fraction_within_donor,AT8,0.04482199265773072,52
DLPFC,Micro-PVM_1,disease_program_fraction_high_global_q95,6e10/A_beta,-0.04101955245440089,60
DLPFC,Micro-PVM_2_1-SEAAD,disease_program_mean,Iba1,0.035714285714285705,15
MTG,Lymphocyte,state_fraction_within_donor,Iba1,0.03442977190876351,50
DLPFC,Micro-PVM_2_2-SEAAD,disease_program_fraction_high_global_q95,GFAP,-0.032667878740048936,52
MTG,Lymphocyte,disease_program_mean,GFAP,0.03231692677070828,50
DLPFC,Micro-PVM_2_1-SEAAD,disease_program_mean,GFAP,0.03214285714285714,15
DLPFC,Micro-PVM_1,disease_program_q95,6e10/A_beta,-0.03167546540705752,60
DLPFC,Micro-PVM_2_2-SEAAD,disease_program_fraction_high_global_q95,AT8,0.030618129485771355,52
DLPFC,Micro-PVM_2_2-SEAAD,disease_program_q95,GFAP,0.029198326645607446,52
DLPFC,Micro-PVM_2_2-SEAAD,disease_program_mean,AT8,-0.027917698283957997,52
MTG,Lymphocyte,disease_program_q95,GFAP,-0.027034813925570226,50
MTG,Micro-PVM_4-SEAAD,state_fraction_within_donor,AT8,0.02417582417582418,14
MTG,Micro-PVM_4-SEAAD,disease_program_mean,6e10/A_beta,-0.02417582417582418,14
MTG,Monocyte,state_fraction_within_donor,GFAP,0.021052631578947364,20
MTG,Micro-PVM_4-SEAAD,state_fraction_within_donor,Iba1,0.01978021978021978,14
DLPFC,Micro-PVM_1,state_fraction_within_donor,GFAP,-0.017977465651438335,60
DLPFC,Micro-PVM_1,disease_program_fraction_high_global_q95,AT8,-0.016497535677286387,60
MTG,Micro-PVM_2_1-SEAAD,disease_program_mean,GFAP,0.014285714285714282,15
MTG,Micro-PVM_1,state_fraction_within_donor,Iba1,-0.013314580403188,80
MTG,Lymphocyte,disease_program_q95,AT8,-0.011188475390156062,50
MTG,Lymphocyte,disease_program_mean,6e10/A_beta,-0.010900360144057623,50
DLPFC,Micro-PVM_2,disease_program_mean,NeuN,-0.008720112517580874,80
DLPFC,Micro-PVM_2_2-SEAAD,disease_program_mean,Iba1,0.008110646290446511,52
DLPFC,Micro-PVM_1,disease_program_q95,Iba1,-0.007279799944429009,60
DLPFC,Micro-PVM_1_1-SEAAD,disease_program_fraction_high_global_q95,Iba1,0.005975342831125075,16
DLPFC,Micro-PVM_2_2-SEAAD,disease_program_q95,Iba1,0.0036711346367284212,52
DLPFC,Micro-PVM_1,disease_program_q95,AT8,0.0017227007502083917,60
MTG,Micro-PVM_2_1-SEAAD,state_fraction_within_donor,NeuN,0.0,15
MTG,Lymphocyte,disease_program_fraction_high_global_q95,AT8,,50
MTG,Lymphocyte,disease_program_fraction_high_global_q95,6e10/A_beta,,50
MTG,Lymphocyte,disease_program_fraction_high_global_q95,GFAP,,50
MTG,Lymphocyte,disease_program_fraction_high_global_q95,Iba1,,50
MTG,Lymphocyte,disease_program_fraction_high_global_q95,NeuN,,50
