model,target,module,perturbation,intervention,n_genes_perturbed,genes,mean_delta_model_scale,mean_delta_raw_scale,median_delta_raw_scale,abs_mean_delta_raw_scale,n_donors,n_cells,source_file,target_short,effect_direction
upgrade_fine_08,percent GFAP positive area_Grey matter,at8_associated_first_pass,DRAM1,global_mean,1,DRAM1,0.0001918787020258,0.0011927769519388,0.0007174015045166,0.0011927769519388,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_gfap.csv,GFAP,up
upgrade_fine_08,percent GFAP positive area_Grey matter,vascular_barrier_myeloid,F13A1,global_mean,1,F13A1,4.608858216670342e-05,0.0002635774144437,-0.0001177787780761,0.0002635774144437,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_gfap.csv,GFAP,up
upgrade_fine_08,percent Iba1 positive area_Grey matter,unannotated,APP,global_mean,1,APP,0.0046670162118971,0.0192196629941463,0.0195506811141967,0.0192196629941463,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_iba1.csv,Iba1,up
upgrade_fine_08,percent Iba1 positive area_Grey matter,disease_associated_microglia;lipid_metabolism;plaque_response,APOE,global_mean,1,APOE,0.0037194625474512,0.0154494363814592,0.0144369602203369,0.0154494363814592,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_iba1.csv,Iba1,up
upgrade_fine_08,percent Iba1 positive area_Grey matter,unannotated,GRB2,global_mean,1,GRB2,0.0035894450265914,0.0146537935361266,0.0125916004180908,0.0146537935361266,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_iba1.csv,Iba1,up
upgrade_fine_08,percent Iba1 positive area_Grey matter,unannotated,STAT3,global_mean,1,STAT3,0.0035926145501434,0.0145954946056008,0.0142616033554077,0.0145954946056008,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_iba1.csv,Iba1,up
upgrade_fine_08,percent Iba1 positive area_Grey matter,unannotated,BCL2,global_mean,1,BCL2,0.0032854627352207,0.0132661117240786,0.0115721225738525,0.0132661117240786,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_iba1.csv,Iba1,up
upgrade_fine_08,percent Iba1 positive area_Grey matter,unannotated,MAPK1,global_mean,1,MAPK1,0.0025447884108871,0.0103695197030901,0.010061502456665,0.0103695197030901,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_iba1.csv,Iba1,up
upgrade_fine_08,percent Iba1 positive area_Grey matter,unannotated,HIF1A,global_mean,1,HIF1A,0.0024380534887313,0.0093775764107704,0.0089349746704101,0.0093775764107704,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_iba1.csv,Iba1,up
upgrade_fine_08,percent Iba1 positive area_Grey matter,unannotated,TLR2,global_mean,1,TLR2,0.002056639175862,0.0083410516381263,0.0083032846450805,0.0083410516381263,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_iba1.csv,Iba1,up
upgrade_fine_08,percent Iba1 positive area_Grey matter,senescence_stress,HSP90AA1,global_mean,1,HSP90AA1,0.0019833480473607,0.0082766786217689,0.0089755058288574,0.0082766786217689,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_iba1.csv,Iba1,up
upgrade_fine_08,percent Iba1 positive area_Grey matter,unannotated,RHOA,global_mean,1,RHOA,0.0017875013872981,0.0069813900627195,0.0070571899414062,0.0069813900627195,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_iba1.csv,Iba1,up
upgrade_fine_08,percent Iba1 positive area_Grey matter,antigen_presentation,CD74,global_mean,1,CD74,0.0015772588085383,0.0066208131611347,0.0067083835601806,0.0066208131611347,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_iba1.csv,Iba1,up
upgrade_fine_08,percent Iba1 positive area_Grey matter,unannotated,UGCG,global_mean,1,UGCG,0.0015649121487513,0.0063640447333455,0.0059804916381835,0.0063640447333455,84,11666,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_iba1.csv,Iba1,up
