gene,module,mean_donor_delta,bootstrap_ci_low,bootstrap_ci_high,adjusted_slope,partial_spearman,model_implied_at8_reducing_knockout,confounder_adjusted_abs_partial_spearman,at8_pseudobulk_score,is_hpa_fda_drug_target,is_hpa_predicted_secreted,is_hpa_predicted_membrane,biology_score,translational_bonus,translational_priority_score,translational_category
VPS8,,,,,,,,,0.15715739,0,0,0,0.04440987463051204,0.0,0.04440987463051204,biology_first_hard_target
VPS45,,,,,,,,,0.15671179,0,0,0,0.044283938819205115,0.0,0.044283938819205115,biology_first_hard_target
MAP3K3,,,,,,,,,0.15670632,0,0,0,0.04428239288363993,0.0,0.04428239288363993,biology_first_hard_target
AC131944.1,,,,,,,,,-0.15636532,0,0,0,0.0441860192039818,0.0,0.0441860192039818,biology_first_hard_target
CBFB,,,,,,,,,0.15616892,0,0,0,0.0441305124864309,0.0,0.0441305124864309,biology_first_hard_target
XACT,,,,,,,,,-0.15614457,0,0,0,0.044123630670889334,0.0,0.044123630670889334,biology_first_hard_target
PHIP,,,,,,,,,0.15600081,0,0,0,0.044083001110221724,0.0,0.044083001110221724,biology_first_hard_target
ARPC2,,,,,,,,,0.15593807,0,0,0,0.04406526948364768,0.0,0.04406526948364768,biology_first_hard_target
STK24,,,,,,,,,-0.15569094,0,0,0,0.043995425414867874,0.0,0.043995425414867874,biology_first_hard_target
PSTPIP2,,,,,,,,,-0.15567496,0,0,0,0.04399090913509973,0.0,0.04399090913509973,biology_first_hard_target
MEG3,,,,,,,,,-0.1552934,0,0,0,0.04388307235735675,0.0,0.04388307235735675,biology_first_hard_target
ANKRD17,,,,,,,,,0.15490493,0,0,0,0.04377328267015208,0.0,0.04377328267015208,biology_first_hard_target
SMAP2,,,,,,,,,-0.15474547,0,0,0,0.04372821596352955,0.0,0.04372821596352955,biology_first_hard_target
HSPA1B,,,,,,,,,-0.15460594,0,0,0,0.04368878188868292,0.0,0.04368878188868292,biology_first_hard_target
NLRC5,,,,,,,,,0.15458047,0,0,0,0.04368158353788852,0.0,0.04368158353788852,biology_first_hard_target
SHTN1,,,,,,,,,-0.15451987,0,0,0,0.043664456719744,0.0,0.043664456719744,biology_first_hard_target
ZCCHC2,,,,,,,,,0.15424888,0,0,0,0.04358786931959574,0.0,0.04358786931959574,biology_first_hard_target
RALGPS2,,,,,,,,,-0.1542365,0,0,0,0.043584370474568854,0.0,0.043584370474568854,biology_first_hard_target
SFMBT1,,,,,,,,,-0.15415588,0,0,0,0.043561585588779886,0.0,0.043561585588779886,biology_first_hard_target
ARHGAP20,,,,,,,,,-0.15399273,0,0,0,0.04351547601154756,0.0,0.04351547601154756,biology_first_hard_target
ZCCHC7,,,,,,,,,0.15385523,0,0,0,0.043476615656846705,0.0,0.043476615656846705,biology_first_hard_target
FMNL3,,,,,,,,,-0.15363912,0,0,0,0.04341553848408741,0.0,0.04341553848408741,biology_first_hard_target
LAT2,,,,,,,,,0.15362959,0,0,0,0.043412845108230694,0.0,0.043412845108230694,biology_first_hard_target
OPHN1,,,,,,,,,0.15344088,0,0,0,0.04335951174433543,0.0,0.04335951174433543,biology_first_hard_target
CALM2,,,,,,,,,-0.15342924,0,0,0,0.043356222038672024,0.0,0.043356222038672024,biology_first_hard_target
EHBP1,,,,,,,,,0.15301615,0,0,0,0.04323947422832019,0.0,0.04323947422832019,biology_first_hard_target
GTF2F2,,,,,,,,,0.15299194,0,0,0,0.04323263197968522,0.0,0.04323263197968522,biology_first_hard_target
VGLL4,,,,,,,,,0.15280338,0,0,0,0.04317934100890417,0.0,0.04317934100890417,biology_first_hard_target
RIN2,,,,,,,,,-0.15264538,0,0,0,0.043134686928593374,0.0,0.043134686928593374,biology_first_hard_target
PPFIA2,,,,,,,,,-0.15257269,0,0,0,0.0431141432254428,0.0,0.0431141432254428,biology_first_hard_target
KHDRBS1,,,,,,,,,0.15246528,0,0,0,0.04308378692945429,0.0,0.04308378692945429,biology_first_hard_target
KANTR,,,,,,,,,-0.15245643,0,0,0,0.04308128573571536,0.0,0.04308128573571536,biology_first_hard_target
JARID2,,,,,,,,,0.15199108,0,0,0,0.04294976816436959,0.0,0.04294976816436959,biology_first_hard_target
GAB1,,,,,,,,,0.15175118,0,0,0,0.04288196744369515,0.0,0.04288196744369515,biology_first_hard_target
ALMS1,,,,,,,,,-0.15168576,0,0,0,0.04286347839348038,0.0,0.04286347839348038,biology_first_hard_target
YLPM1,,,,,,,,,0.151509,0,0,0,0.04281352234768457,0.0,0.04281352234768457,biology_first_hard_target
BIN1,,,,,,,,,-0.15127161,0,0,0,0.0427464310051214,0.0,0.0427464310051214,biology_first_hard_target
NABP1,,,,,,,,,0.15123948,0,0,0,0.04273735040005566,0.0,0.04273735040005566,biology_first_hard_target
PPP4R2,,,,,,,,,0.15103419,0,0,0,0.04267933118393538,0.0,0.04267933118393538,biology_first_hard_target
PSME4,,,,,,,,,0.15087615,0,0,0,0.04263466579879411,0.0,0.04263466579879411,biology_first_hard_target
RASSF8,,,,,,,,,-0.15073715,0,0,0,0.04259538151295106,0.0,0.04259538151295106,biology_first_hard_target
DNAJB6,,,,,,,,,0.15058655,0,0,0,0.042552818826275075,0.0,0.042552818826275075,biology_first_hard_target
OTULIN,,,,,,,,,-0.15050992,0,0,0,0.042531161597324334,0.0,0.042531161597324334,biology_first_hard_target
PDS5B,,,,,,,,,0.15024906,0,0,0,0.04245743714548967,0.0,0.04245743714548967,biology_first_hard_target
RCC2,,,,,,,,,0.15013775,0,0,0,0.04242597862853147,0.0,0.04242597862853147,biology_first_hard_target
HS6ST3,,,,,,,,,-0.14991008,0,0,0,0.042361634359769695,0.0,0.042361634359769695,biology_first_hard_target
