dataset,module,graph_variant,alpha,metric,target,spearman,n_donors,n_graph_genes_present,seed_mass_present
MTG,dam_lipid_trem2_apoe,uncapped,0.5,variance,GFAP,0.3790219702338767,84,119,0.6075115360286854
MTG,dam_lipid_trem2_apoe,uncapped,0.5,variance,Iba1,0.12627315986635618,84,119,0.6075115360286854
MTG,dam_lipid_trem2_apoe,uncapped,0.5,variance,NeuN,-0.3730687455705174,84,119,0.6075115360286854
MTG,dam_lipid_trem2_apoe,uncapped,1.0,mean,AT8,0.25734534777766527,84,119,0.2150230720573716
MTG,dam_lipid_trem2_apoe,uncapped,1.0,mean,6e10/A_beta,0.2278627113496001,84,119,0.2150230720573716
MTG,dam_lipid_trem2_apoe,uncapped,1.0,mean,GFAP,0.03422091728257568,84,119,0.2150230720573716
MTG,dam_lipid_trem2_apoe,uncapped,1.0,mean,Iba1,0.21490331072187913,84,119,0.2150230720573716
MTG,dam_lipid_trem2_apoe,uncapped,1.0,mean,NeuN,0.028692922952313453,84,119,0.2150230720573716
MTG,dam_lipid_trem2_apoe,uncapped,1.0,q95,AT8,0.3038776956565759,84,119,0.2150230720573716
MTG,dam_lipid_trem2_apoe,uncapped,1.0,q95,6e10/A_beta,0.2893186190138706,84,119,0.2150230720573716
MTG,dam_lipid_trem2_apoe,uncapped,1.0,q95,GFAP,0.14719044244203705,84,119,0.2150230720573716
MTG,dam_lipid_trem2_apoe,uncapped,1.0,q95,Iba1,0.24047787789814723,84,119,0.2150230720573716
MTG,dam_lipid_trem2_apoe,uncapped,1.0,q95,NeuN,-0.1757416219499848,84,119,0.2150230720573716
MTG,dam_lipid_trem2_apoe,uncapped,1.0,q99,AT8,0.3284398096588033,84,119,0.2150230720573716
MTG,dam_lipid_trem2_apoe,uncapped,1.0,q99,6e10/A_beta,0.27650096183051537,84,119,0.2150230720573716
MTG,dam_lipid_trem2_apoe,uncapped,1.0,q99,GFAP,0.13838209982788297,84,119,0.2150230720573716
MTG,dam_lipid_trem2_apoe,uncapped,1.0,q99,Iba1,0.20354358610914244,84,119,0.2150230720573716
MTG,dam_lipid_trem2_apoe,uncapped,1.0,q99,NeuN,-0.29359117140832236,84,119,0.2150230720573716
MTG,dam_lipid_trem2_apoe,uncapped,1.0,top_5pct_mean,AT8,0.35111876075731496,84,119,0.2150230720573716
MTG,dam_lipid_trem2_apoe,uncapped,1.0,top_5pct_mean,6e10/A_beta,0.30482940164017414,84,119,0.2150230720573716
MTG,dam_lipid_trem2_apoe,uncapped,1.0,top_5pct_mean,GFAP,0.14469980763389695,84,119,0.2150230720573716
MTG,dam_lipid_trem2_apoe,uncapped,1.0,top_5pct_mean,Iba1,0.2085248557254227,84,119,0.2150230720573716
MTG,dam_lipid_trem2_apoe,uncapped,1.0,top_5pct_mean,NeuN,-0.24495292092740711,84,119,0.2150230720573716
MTG,dam_lipid_trem2_apoe,uncapped,1.0,fraction_high_global_q95,AT8,0.30814168341836273,84,119,0.2150230720573716
