model,target,module,perturbation,intervention,Donor ID,prediction_model_scale_baseline,prediction_raw_scale_baseline,prediction_model_scale_perturbed,prediction_raw_scale_perturbed,delta_model_scale,delta_raw_scale
upgrade_fine_08,percent GFAP positive area_Grey matter,unannotated,TLR2,global_mean,H20.33.039,1.4134057,3.1099286,1.4171531,3.1253595,0.0037474632,0.015430927
upgrade_fine_08,percent GFAP positive area_Grey matter,unannotated,TLR2,global_mean,H20.33.040,1.7159051,4.561707,1.7167867,4.5666127,0.0008816719,0.0049057007
upgrade_fine_08,percent GFAP positive area_Grey matter,unannotated,TLR2,global_mean,H20.33.041,1.8407013,5.300956,1.8440964,5.3223844,0.0033950806,0.021428585
upgrade_fine_08,percent GFAP positive area_Grey matter,unannotated,TLR2,global_mean,H20.33.043,1.6626391,4.273209,1.6684839,4.30412,0.0058447123,0.030910969
upgrade_fine_08,percent GFAP positive area_Grey matter,unannotated,TLR2,global_mean,H20.33.044,1.871645,5.498978,1.8767197,5.5320425,0.0050747395,0.033064365
upgrade_fine_08,percent GFAP positive area_Grey matter,unannotated,TLR2,global_mean,H20.33.045,1.6321045,4.1146274,1.6368438,4.1389246,0.0047392845,0.024297237
upgrade_fine_08,percent GFAP positive area_Grey matter,unannotated,TLR2,global_mean,H20.33.046,1.8735322,5.511255,1.8752499,5.5224485,0.0017176867,0.011193752
upgrade_fine_08,percent GFAP positive area_Grey matter,unannotated,TLR2,global_mean,H21.33.001,2.1457796,7.548703,2.1479993,7.5676994,0.002219677,0.018996239
upgrade_fine_08,percent GFAP positive area_Grey matter,unannotated,TLR2,global_mean,H21.33.002,1.7189932,4.578909,1.7197009,4.5828586,0.00070774555,0.003949642
upgrade_fine_08,percent GFAP positive area_Grey matter,unannotated,TLR2,global_mean,H21.33.003,1.6238478,4.0725713,1.625097,4.078912,0.0012491941,0.0063405037
upgrade_fine_08,percent GFAP positive area_Grey matter,unannotated,TLR2,global_mean,H21.33.004,1.747832,4.74214,1.7496734,4.752723,0.0018414259,0.010583401
upgrade_fine_08,percent GFAP positive area_Grey matter,unannotated,TLR2,global_mean,H21.33.005,1.7731372,4.8893003,1.7750677,4.9006805,0.0019304752,0.011380196
upgrade_fine_08,percent GFAP positive area_Grey matter,unannotated,TLR2,global_mean,H21.33.006,1.5771735,3.8412523,1.5811329,3.8604589,0.0039594173,0.019206524
upgrade_fine_08,percent GFAP positive area_Grey matter,unannotated,TLR2,global_mean,H21.33.007,1.960969,6.1062093,1.9620873,6.114161,0.0011183023,0.007951736
upgrade_fine_08,percent GFAP positive area_Grey matter,unannotated,TLR2,global_mean,H21.33.008,1.9767556,6.2192826,1.9789212,6.2349334,0.002165556,0.01565075
upgrade_fine_08,percent GFAP positive area_Grey matter,unannotated,TLR2,global_mean,H21.33.009,1.8711587,5.495819,1.8784606,5.5434246,0.0073019266,0.047605515
upgrade_fine_08,percent GFAP positive area_Grey matter,unannotated,TLR2,global_mean,H21.33.010,1.6165801,4.035839,1.6184956,4.045494,0.0019154549,0.009654999
upgrade_fine_08,percent GFAP positive area_Grey matter,unannotated,TLR2,global_mean,H21.33.011,1.8047049,5.0781775,1.811391,5.1189528,0.0066860914,0.0407753
upgrade_fine_08,percent GFAP positive area_Grey matter,unannotated,TLR2,global_mean,H21.33.012,1.7067965,4.511278,1.70939,4.52559,0.0025935173,0.0143117905
upgrade_fine_08,percent GFAP positive area_Grey matter,unannotated,TLR2,global_mean,H21.33.013,1.592988,3.9184232,1.5956653,3.9316092,0.0026773214,0.013185978
upgrade_fine_08,percent GFAP positive area_Grey matter,unannotated,TLR2,global_mean,H21.33.014,1.746799,4.736212,1.7525896,4.769524,0.0057905912,0.03331232
upgrade_fine_08,percent GFAP positive area_Grey matter,unannotated,TLR2,global_mean,H21.33.015,1.5159328,3.5536666,1.5207746,3.575768,0.0048418045,0.022101402
upgrade_fine_08,percent GFAP positive area_Grey matter,unannotated,TLR2,global_mean,H21.33.016,1.6873705,4.405249,1.6885054,4.411387,0.0011348724,0.006137848
upgrade_fine_08,percent GFAP positive area_Grey matter,unannotated,TLR2,global_mean,H21.33.017,1.658835,4.2531877,1.6658208,4.290014,0.0069857836,0.036826134
upgrade_fine_08,percent GFAP positive area_Grey matter,unannotated,TLR2,global_mean,H21.33.018,1.4627578,3.317851,1.4633842,3.3205562,0.0006263256,0.0027050972
upgrade_fine_08,percent GFAP positive area_Grey matter,unannotated,TLR2,global_mean,H21.33.019,2.132702,7.4376354,2.1299248,7.414234,-0.002777338,-0.02340126
upgrade_fine_08,percent GFAP positive area_Grey matter,unannotated,TLR2,global_mean,H21.33.020,1.7807307,4.934191,1.7841179,4.9543257,0.0033872128,0.020134449
upgrade_fine_08,percent GFAP positive area_Grey matter,unannotated,TLR2,global_mean,H21.33.021,1.8038057,5.0727143,1.8042542,5.0754385,0.00044846535,0.0027241707
