source,target,score,source_idx,target_idx
PRRC2C,RBM25,999,208,2196
PRRC2C,SON,999,208,2807
PSMA1,PSMD1,999,1785,527
PSMA1,PSMD14,999,1785,453
PSMA1,PSME4,999,1785,342
PSMD1,PSMD14,999,527,453
PSPC1,SFPQ,999,2048,63
PTK2,SOS1,999,1512,322
PTK2,TLN2,999,1512,2298
RAB11A,RAB11FIP2,999,2308,1746
RAB3GAP1,RAB3GAP2,999,426,256
RAB5A,RABEP1,999,557,2448
RAB5A,RABGEF1,999,557,1295
RABEP1,RABGEF1,999,2448,1295
RAF1,RAP1A,999,552,153
RAF1,YWHAZ,999,552,1480
RB1CC1,ULK2,999,1445,2465
RBBP4,SUZ12,999,59,2483
RBM25,SRRM1,999,2196,40
RBM39,SON,999,2762,2807
REV1,REV3L,999,395,1184
RHEB,RPTOR,999,1382,2566
RHOA,ROCK1,999,601,2589
RHOT1,TRAK1,999,2484,585
RICTOR,RPTOR,999,920,2566
RPL10,RPL11,999,2941,38
RPL10,RPL13,999,2941,2431
RPL10,RPL13A,999,2941,2708
RPL10,RPL15,999,2941,560
RPL10,RPL18,999,2941,2705
RPL10,RPL19,999,2941,2498
RPL10,RPL21,999,2941,2057
RPL10,RPL3,999,2941,2854
RPL10,RPL31,999,2941,396
RPL10,RPL32,999,2941,553
RPL10,RPL35,999,2941,1607
RPL10,RPL37A,999,2941,509
RPL10,RPL5,999,2941,132
RPL10,RPL6,999,2941,2026
RPL10,RPL7A,999,2941,1624
RPL10,RPL9,999,2941,791
RPL10,RPLP1,999,2941,2315
RPL10,RPS11,999,2941,2709
RPL10,RPS12,999,2941,1202
RPL10,RPS14,999,2941,1027
RPL10,RPS15,999,2941,2641
RPL10,RPS18,999,2941,1113
RPL10,RPS19,999,2941,2696
RPL10,RPS2,999,2941,2350
RPL10,RPS23,999,2941,963
RPL10,RPS25,999,2941,1876
RPL10,RPS27,999,2941,185
RPL10,RPS3,999,2941,1840
RPL10,RPS6,999,2941,1531
RPL10,RPS8,999,2941,82
RPL10,RPS9,999,2941,2713
RPL10,RPSA,999,2941,581
RPL11,RPL13,999,38,2431
RPL11,RPL13A,999,38,2708
RPL11,RPL15,999,38,560
RPL11,RPL17,999,38,2613
RPL11,RPL18,999,38,2705
RPL11,RPL19,999,38,2498
RPL11,RPL21,999,38,2057
RPL11,RPL26,999,38,2453
RPL11,RPL28,999,38,2717
RPL11,RPL3,999,38,2854
RPL11,RPL31,999,38,396
RPL11,RPL32,999,38,553
RPL11,RPL34,999,38,852
RPL11,RPL35,999,38,1607
RPL11,RPL37,999,38,921
RPL11,RPL37A,999,38,509
RPL11,RPL5,999,38,132
RPL11,RPL6,999,38,2026
RPL11,RPL7A,999,38,1624
RPL11,RPL9,999,38,791
RPL11,RPLP1,999,38,2315
RPL11,RPLP2,999,38,1763
RPL11,RPS11,999,38,2709
RPL11,RPS12,999,38,1202
RPL11,RPS14,999,38,1027
RPL11,RPS15,999,38,2641
RPL11,RPS18,999,38,1113
RPL11,RPS19,999,38,2696
RPL11,RPS2,999,38,2350
RPL11,RPS23,999,38,963
RPL11,RPS24,999,38,1696
RPL11,RPS25,999,38,1876
RPL11,RPS27,999,38,185
RPL11,RPS27A,999,38,345
RPL11,RPS28,999,38,2652
RPL11,RPS29,999,38,2159
RPL11,RPS3,999,38,1840
RPL11,RPS6,999,38,1531
RPL11,RPS8,999,38,82
RPL11,RPS9,999,38,2713
RPL11,RPSA,999,38,581
RPL13,RPL13A,999,2431,2708
RPL13,RPL15,999,2431,560
RPL13,RPL17,999,2431,2613
RPL13,RPL18,999,2431,2705
RPL13,RPL19,999,2431,2498
RPL13,RPL21,999,2431,2057
RPL13,RPL26,999,2431,2453
RPL13,RPL28,999,2431,2717
RPL13,RPL3,999,2431,2854
RPL13,RPL31,999,2431,396
RPL13,RPL32,999,2431,553
RPL13,RPL34,999,2431,852
RPL13,RPL35,999,2431,1607
RPL13,RPL37,999,2431,921
RPL13,RPL37A,999,2431,509
RPL13,RPL5,999,2431,132
RPL13,RPL6,999,2431,2026
RPL13,RPL7A,999,2431,1624
RPL13,RPL9,999,2431,791
RPL13,RPLP1,999,2431,2315
RPL13,RPLP2,999,2431,1763
RPL13,RPS11,999,2431,2709
RPL13,RPS12,999,2431,1202
RPL13,RPS14,999,2431,1027
RPL13,RPS15,999,2431,2641
RPL13,RPS18,999,2431,1113
RPL13,RPS19,999,2431,2696
RPL13,RPS2,999,2431,2350
RPL13,RPS23,999,2431,963
RPL13,RPS24,999,2431,1696
RPL13,RPS25,999,2431,1876
RPL13,RPS27,999,2431,185
RPL13,RPS27A,999,2431,345
