source_idx,target_idx,support,string_score,wgcna_tom
2274,1092,string_only,999.0,
2274,2716,string_only,999.0,
2274,2269,string_only,999.0,
306,1047,string_only,999.0,
2627,2750,string_only,999.0,
2627,2449,string_only,999.0,
739,2461,string_only,999.0,
739,2041,string_only,999.0,
416,2222,string_only,999.0,
1724,2550,string_only,999.0,
1724,1448,string_only,999.0,
1724,2421,string_only,999.0,
1724,1564,string_only,999.0,
1724,2650,string_only,999.0,
1703,491,string_only,999.0,
1376,552,string_only,999.0,
1376,1480,string_only,999.0,
2665,1431,string_only,999.0,
1730,583,string_only,999.0,
1730,1381,string_only,999.0,
1730,650,string_only,999.0,
1730,2152,string_only,999.0,
32,34,string_only,999.0,
32,33,string_only,999.0,
34,33,string_only,999.0,
2649,247,string_only,999.0,
2649,234,string_only,999.0,
2649,246,string_only,999.0,
2649,2387,string_only,999.0,
2649,2904,string_only,999.0,
1101,1102,string_only,999.0,
1101,246,string_only,999.0,
1102,246,string_only,999.0,
1536,952,string_only,999.0,
526,2538,string_only,999.0,
1798,1029,string_only,999.0,
156,26,string_only,999.0,
1352,26,string_only,999.0,
1244,2621,string_only,999.0,
2406,1862,string_only,999.0,
2406,1135,string_only,999.0,
1877,2436,string_only,999.0,
1877,2550,string_only,999.0,
1877,941,string_only,999.0,
1877,1621,string_only,999.0,
1877,2880,string_only,999.0,
2486,2490,string_only,999.0,
2486,592,string_only,999.0,
2486,593,string_only,999.0,
2486,814,string_only,999.0,
2491,592,string_only,999.0,
2491,593,string_only,999.0,
2492,592,string_only,999.0,
2492,593,string_only,999.0,
2490,592,string_only,999.0,
2490,593,string_only,999.0,
2490,816,string_only,999.0,
1288,1314,string_only,999.0,
1288,2537,string_only,999.0,
1894,1318,string_only,999.0,
1894,1122,string_only,999.0,
1128,1318,string_only,999.0,
1128,1122,string_only,999.0,
966,2179,string_only,999.0,
593,1900,string_only,999.0,
593,816,string_only,999.0,
645,2721,string_only,999.0,
1026,1103,string_only,999.0,
31,2341,string_only,999.0,
31,950,string_only,999.0,
31,2808,string_only,999.0,
31,1844,string_only,999.0,
31,685,string_only,999.0,
31,748,string_only,999.0,
31,2650,string_only,999.0,
31,1357,string_only,999.0,
1181,2533,string_only,999.0,
1318,1122,string_only,999.0,
1318,1534,string_only,999.0,
2055,2533,string_only,999.0,
2055,2891,string_only,999.0,
1534,1976,string_only,999.0,
1367,27,string_only,999.0,
1906,1564,string_only,999.0,
2037,2341,string_only,999.0,
1544,2528,string_only,999.0,
2404,1980,string_only,999.0,
2404,1369,string_only,999.0,
2404,819,string_only,999.0,
2404,1875,string_only,999.0,
1980,1369,string_only,999.0,
1980,819,string_only,999.0,
1369,1010,string_only,999.0,
197,1784,string_only,999.0,
501,2352,string_only,999.0,
501,2857,string_only,999.0,
2352,583,string_only,999.0,
2352,2857,string_only,999.0,
2352,2181,string_only,999.0,
2352,558,string_only,999.0,
2352,300,string_only,999.0,
2352,2774,string_only,999.0,
2352,481,string_only,999.0,
2436,1621,string_only,999.0,
1023,583,string_only,999.0,
1023,650,string_only,999.0,
1795,802,string_only,999.0,
1008,583,string_only,999.0,
583,1814,string_only,999.0,
583,2857,string_only,999.0,
583,650,string_only,999.0,
583,2341,string_only,999.0,
583,2197,string_only,999.0,
583,2310,string_only,999.0,
583,2617,string_only,999.0,
583,1742,string_only,999.0,
1765,2132,string_only,999.0,
154,2142,string_only,999.0,
1381,726,string_only,999.0,
1381,979,string_only,999.0,
1381,775,string_only,999.0,
1381,1039,string_only,999.0,
1381,876,string_only,999.0,
1381,2152,string_only,999.0,
515,2658,string_only,999.0,
515,2521,string_only,999.0,
515,431,string_only,999.0,
2131,1808,string_only,999.0,
2428,2890,string_only,999.0,
2243,724,string_only,999.0,
2243,1956,string_only,999.0,
2243,46,string_only,999.0,
2395,1897,string_only,999.0,
611,1875,string_only,999.0,
611,691,string_only,999.0,
984,1875,string_only,999.0,
984,691,string_only,999.0,
1097,1957,string_only,999.0,
1097,2573,string_only,999.0,
2893,1970,string_only,999.0,
1004,484,string_only,999.0,
1875,2680,string_only,999.0,
1496,1610,string_only,999.0,
1496,920,string_only,999.0,
1496,2566,string_only,999.0,
224,283,string_only,999.0,
1932,518,string_only,999.0,
2234,461,string_only,999.0,
1995,557,string_only,999.0,
671,1562,string_only,999.0,
270,2181,string_only,999.0,
2451,1953,string_only,999.0,
2451,843,string_only,999.0,
2451,1479,string_only,999.0,
2451,1739,string_only,999.0,
738,843,string_only,999.0,
738,1479,string_only,999.0,
738,1739,string_only,999.0,
1953,843,string_only,999.0,
1953,1479,string_only,999.0,
843,1479,string_only,999.0,
2603,1426,string_only,999.0,
1426,1793,string_only,999.0,
2857,2181,string_only,999.0,
2857,101,string_only,999.0,
2857,558,string_only,999.0,
2857,1976,string_only,999.0,
2857,300,string_only,999.0,
2857,2774,string_only,999.0,
2857,2310,string_only,999.0,
2857,2505,string_only,999.0,
2857,2231,string_only,999.0,
2045,1327,string_only,999.0,
2464,92,string_only,999.0,
1913,322,string_only,999.0,
506,2550,string_only,999.0,
506,1700,string_only,999.0,
1223,2201,string_only,999.0,
1223,2235,string_only,999.0,
1223,2344,string_only,999.0,
1223,101,string_only,999.0,
1223,300,string_only,999.0,
1223,1462,string_only,999.0,
1223,2774,string_only,999.0,
1223,2461,string_only,999.0,
1223,2791,string_only,999.0,
806,1059,string_only,999.0,
806,1368,string_only,999.0,
806,2172,string_only,999.0,
806,1718,string_only,999.0,
1059,1718,string_only,999.0,
1368,1718,string_only,999.0,
2172,1718,string_only,999.0,
1718,2308,string_only,999.0,
1492,1802,string_only,999.0,
91,2568,string_only,999.0,
91,749,string_only,999.0,
775,2329,string_only,999.0,
1180,503,string_only,999.0,
802,419,string_only,999.0,
2201,101,string_only,999.0,
1979,2550,string_only,999.0,
1819,2706,string_only,999.0,
1029,2424,string_only,999.0,
871,2550,string_only,999.0,
1846,2550,string_only,999.0,
110,1237,string_only,999.0,
1898,2914,string_only,999.0,
1898,2708,string_only,999.0,
2133,405,string_only,999.0,
2674,2616,string_only,999.0,
2674,59,string_only,999.0,
184,59,string_only,999.0,
401,1837,string_only,999.0,
605,1,string_only,999.0,
