source,target,source_idx,target_idx,in_string,in_wgcna,string_score,wgcna_tom,support
ARIH1,PPM1B,2320,330,True,True,726.0,0.35949495,both
MAP3K1,TNFRSF1A,933,1897,True,True,745.0,0.3592709,both
RPS15,RPS18,2641,1113,True,True,999.0,0.3590484,both
CAMKMT,PPM1B,331,330,True,True,953.0,0.35903606,both
EIF3E,EIF4A1,1488,2451,True,True,986.0,0.3589514,both
NRP1,NRP2,1661,497,True,True,967.0,0.35889155,both
CAMKMT,KMT5B,331,1830,True,True,789.0,0.35887095,both
ATF2,OGT,467,2908,True,True,728.0,0.35876212,both
ANAPC5,UBC,2034,2043,True,True,911.0,0.3586602,both
RPL34,RPS18,852,1113,True,True,999.0,0.3585534,both
ISG15,RPS15,0,2641,True,True,838.0,0.35849255,both
UBE2E1,USP7,559,2356,True,True,702.0,0.35820436,both
RPLP2,RPS9,1763,2713,True,True,999.0,0.35808688,both
KPNA4,RANBP2,707,403,True,True,809.0,0.35782403,both
EIF3A,RPS27,1748,185,True,True,976.0,0.3577798,both
RPL3,RPS18,2854,1113,True,True,999.0,0.35749373,both
RPL7A,RPS9,1624,2713,True,True,999.0,0.3574772,both
PPP2R2A,PPP2R5E,1421,2183,True,True,972.0,0.35730496,both
RPLP1,RPS9,2315,2713,True,True,999.0,0.35729617,both
RPL9,RPS25,791,1876,True,True,999.0,0.35716018,both
EXOC4,TRAPPC11,1368,896,True,True,791.0,0.35699022,both
RPL17,RPL19,2613,2498,True,True,999.0,0.35696217,both
DMXL1,RAB3GAP2,988,256,True,True,720.0,0.35692003,both
RPL28,RPS14,2717,1027,True,True,999.0,0.35689008,both
RPL28,RPL6,2717,2026,True,True,999.0,0.3566056,both
RPL28,RPS15,2717,2641,True,True,999.0,0.35632616,both
RPL9,RPS23,791,963,True,True,999.0,0.35627222,both
ABL1,YWHAE,1618,2435,True,True,718.0,0.35624442,both
COP1,DCAF5,213,2191,True,True,901.0,0.35613602,both
AFF4,IWS1,1001,418,True,True,849.0,0.3558689,both
AMBRA1,BCL2,1805,2627,True,True,954.0,0.3558137,both
SRPK2,SRRM1,1340,40,True,True,729.0,0.35530016,both
EIF3A,EIF4A1,1748,2451,True,True,989.0,0.355142,both
RPL3,RPS14,2854,1027,True,True,999.0,0.35512912,both
MAPKAP1,PRKDC,1610,1442,True,True,924.0,0.35510173,both
RPL19,RPL21,2498,2057,True,True,999.0,0.3550112,both
GSPT1,SMG1,2363,2370,True,True,955.0,0.3546565,both
RPL34,RPL9,852,791,True,True,999.0,0.35449052,both
RPL18,RPL28,2705,2717,True,True,999.0,0.3543891,both
GSK3B,OGT,650,2908,True,True,951.0,0.35432562,both
RPL18,RPL9,2705,791,True,True,999.0,0.35430592,both
EIF3E,RPL7A,1488,1624,True,True,774.0,0.35426548,both
PCF11,THOC2,1850,2928,True,True,852.0,0.35424003,both
CRK,PAFAH1B1,2436,2440,True,True,782.0,0.35398182,both
RPL11,RPL28,38,2717,True,True,999.0,0.35382438,both
RPL3,RPL6,2854,2026,True,True,999.0,0.3537945,both
RPL28,RPS18,2717,1113,True,True,999.0,0.35375226,both
MCM9,POLA1,1190,2886,True,True,865.0,0.35364762,both
RPL17,RPS18,2613,1113,True,True,999.0,0.3536228,both
CYLD,THOC2,2395,2928,True,True,992.0,0.35349154,both
RPL9,RPS27,791,185,True,True,999.0,0.35330418,both
EXOC2,EXOC4,1059,1368,True,True,999.0,0.3532887,both
RPL28,RPS27,2717,185,True,True,998.0,0.35286212,both
SEC22A,USO1,663,815,True,True,783.0,0.35267144,both
PPM1B,PPP2CA,330,1002,True,True,712.0,0.3526301,both
CANX,STT3B,1053,569,True,True,747.0,0.3526102,both
RPL11,RPL3,38,2854,True,True,999.0,0.3523374,both
RPL3,RPL9,2854,791,True,True,999.0,0.35218892,both
RPL26,RPL3,2453,2854,True,True,999.0,0.35217446,both
CLASRP,ERC1,2702,1891,True,True,864.0,0.35202676,both
RPS2,RPS9,2350,2713,True,True,999.0,0.3519688,both
RPL21,RPS18,2057,1113,True,True,999.0,0.3519308,both
MCM3AP,THOC2,2827,2928,True,True,710.0,0.35189006,both
EXOC4,EXOC5,1368,2172,True,True,999.0,0.35180002,both
EIF3E,PABPC1,1488,1479,True,True,771.0,0.3517684,both
AEBP2,PCGF5,1916,1713,True,True,929.0,0.35169578,both
RPL9,RPS15,791,2641,True,True,999.0,0.35163403,both
HNRNPK,PABPC1,1557,1479,True,True,954.0,0.35144302,both
RPL28,RPL9,2717,791,True,True,999.0,0.35142115,both
HNRNPA3,KHDRBS1,469,56,True,True,755.0,0.35136062,both
RPL18,RPL3,2705,2854,True,True,999.0,0.3509848,both
KMT2A,TASP1,1874,2737,True,True,841.0,0.35096687,both
CSTF3,WDR33,1795,419,True,True,998.0,0.35073677,both
CUL3,FBXW11,515,1039,True,True,836.0,0.3506574,both
RPL19,RPL7A,2498,1624,True,True,999.0,0.3506182,both
DCTN4,PAFAH1B1,1028,2440,True,True,743.0,0.35040125,both
RPL17,RPL28,2613,2717,True,True,999.0,0.35028523,both
HDAC8,RBBP4,2909,59,True,True,956.0,0.34983563,both
EIF3A,RPS2,1748,2350,True,True,993.0,0.34966487,both
RPL26,RPL28,2453,2717,True,True,999.0,0.34964955,both
PABPC1,TIAL1,1479,1751,True,True,720.0,0.34960097,both
ANAPC10,UBC,872,2043,True,True,911.0,0.34940538,both
BRAF,YWHAB,1376,2771,True,True,994.0,0.34926948,both
CEPT1,PAFAH1B1,150,2440,True,True,901.0,0.34910658,both
RPL6,RPS27A,2026,345,True,True,999.0,0.34892896,both
RPL3,RPS15,2854,2641,True,True,999.0,0.3486408,both
RPL7A,RPS18,1624,1113,True,True,999.0,0.34840763,both
RPL3,RPS25,2854,1876,True,True,999.0,0.3483295,both
HNRNPA3,PURA,469,1011,True,True,743.0,0.348071,both
RPL19,RPL35,2498,1607,True,True,999.0,0.3480633,both
FUBP1,HNRNPM,120,2653,True,True,725.0,0.34789413,both
RPL17,RPL9,2613,791,True,True,999.0,0.34770373,both
NFE2L2,PRDX1,470,84,True,True,894.0,0.34764084,both
DHX9,EWSR1,224,2841,True,True,997.0,0.34753573,both
RPL28,RPS25,2717,1876,True,True,999.0,0.3474432,both
RPL28,RPL3,2717,2854,True,True,999.0,0.34742254,both
RPL28,RPS23,2717,963,True,True,999.0,0.34721962,both
RPL21,RPL9,2057,791,True,True,999.0,0.3469711,both
RPL3,RPS23,2854,963,True,True,999.0,0.3468705,both
KPNA4,NFKB1,707,846,True,True,992.0,0.34680682,both
SCFD1,SEC31A,2141,823,True,True,772.0,0.34680262,both
RPL35,RPS18,1607,1113,True,True,999.0,0.34667894,both
RPL3,RPS27,2854,185,True,True,997.0,0.3465989,both
PRKACB,SUFU,123,1735,True,True,965.0,0.346485,both
RPS9,TPT1,2713,2077,True,True,925.0,0.3463676,both
KDM5A,SUZ12,1889,2483,True,True,895.0,0.34622136,both
PIAS2,STAT6,2609,1961,True,True,724.0,0.3460584,both
DCAF7,TRPC4AP,2536,2759,True,True,901.0,0.3460265,both
EIF4A1,TIAL1,2451,1751,True,True,812.0,0.34598756,both
