dataset,feature,metric,target,spearman,n_donors
MTG,antigen_presentation,q99,AT8,0.015956262022881442,84
MTG,antigen_presentation,q99,6e10/A_beta,0.1264149033107219,84
MTG,antigen_presentation,q99,GFAP,0.15259694239141441,84
MTG,antigen_presentation,q99,Iba1,0.03310721879113091,84
MTG,antigen_presentation,q99,NeuN,0.05230333097094259,84
MTG,antigen_presentation,fraction_high_global_q95,AT8,0.05749029265377926,84
MTG,antigen_presentation,fraction_high_global_q95,6e10/A_beta,0.13938206563436514,84
MTG,antigen_presentation,fraction_high_global_q95,GFAP,0.18527912385901843,84
MTG,antigen_presentation,fraction_high_global_q95,Iba1,0.08482805069625972,84
MTG,antigen_presentation,fraction_high_global_q95,NeuN,0.03419244774424314,84
MTG,antigen_presentation,top_10pct_mean,AT8,0.0640072896628531,84
MTG,antigen_presentation,top_10pct_mean,6e10/A_beta,0.10525463197327124,84
MTG,antigen_presentation,top_10pct_mean,GFAP,0.18284904323175052,84
MTG,antigen_presentation,top_10pct_mean,Iba1,0.04501366811784955,84
MTG,antigen_presentation,top_10pct_mean,NeuN,0.08134048800242989,84
MTG,antigen_presentation,top_5pct_mean,AT8,0.03312746785461172,84
MTG,antigen_presentation,top_5pct_mean,6e10/A_beta,0.09802571631062064,84
MTG,antigen_presentation,top_5pct_mean,GFAP,0.1752758934899261,84
MTG,antigen_presentation,top_5pct_mean,Iba1,0.04100435354864837,84
