"study","assay_object","donor","target_gene","target_gene_measured","n_guides","n_cells","n_nt_guides","n_nt_cells","target_log2fc_mean","target_log2fc_sd","target_log2fc_se"
"GSE301119","CRISPRi","D1","NRP2",TRUE,5,180,98,1425,-0.155339408043433,0.29097047476846,0.130125952205533
"GSE301119","CRISPRi","D1","OLR1",TRUE,5,31,98,1425,-2.76132007268303,3.19582857020934,1.42921798548481
"GSE301119","CRISPRi","D1","P2RY12",TRUE,5,55,98,1425,0.37838742884729,1.03809648329379,0.464250860769678
"GSE301119","CRISPRi","D1","P2RY13",TRUE,5,52,98,1425,-0.162367090031825,0,0
"GSE301119","CRISPRi","D1","P2RY6",TRUE,5,59,98,1425,-1.65423875769211,1.09120002616218,0.487999487109635
"GSE301119","CRISPRi","D1","PILRA",TRUE,5,86,98,1425,-3.60242844834214,2.45981381875272,1.10006218214489
"GSE301119","CRISPRi","D1","PILRB",TRUE,5,50,98,1425,1.08824432828959,0.484205928561298,0.216543474274294
"GSE301119","CRISPRi","D1","PLAUR",TRUE,5,129,98,1425,0.0701019689404323,0.447442119369604,0.200102198981402
"GSE301119","CRISPRi","D1","PLCB3",TRUE,5,145,98,1425,-0.936585298235235,1.43020289704687,0.639606179882788
"GSE301119","CRISPRi","D1","PLCG2",TRUE,5,62,98,1425,-1.80346087872106,2.61833162014511,1.17095349805632
"GSE301119","CRISPRi","D1","PLEK",TRUE,5,76,98,1425,-1.52655401192991,1.28187122399041,0.573270239048683
"GSE301119","CRISPRi","D1","PTPRC",TRUE,5,57,98,1425,-4.60724392147144,4.42334790198542,1.97818131939409
"GSE301119","CRISPRi","D1","PTPRE",TRUE,5,70,98,1425,-0.533444877291406,0.780141458347435,0.348889866586137
"GSE301119","CRISPRi","D1","RPL11",TRUE,4,35,98,1425,-1.58259904350529,0.38132056199295,0.190660280996475
"GSE301119","CRISPRi","D1","RPL7",TRUE,5,72,98,1425,-1.2377395786758,0.90660192106121,0.405444704804953
"GSE301119","CRISPRi","D1","RYR1",TRUE,5,98,98,1425,-0.284144173660932,0,0
"GSE301119","CRISPRi","D1","S100A4",TRUE,5,23,98,1425,-4.67550862687352,3.86163255040823,1.72697457736774
"GSE301119","CRISPRi","D1","SCARB1",TRUE,5,70,98,1425,-1.55475734294638,2.2238708347862,0.994545271952228
"GSE301119","CRISPRi","D1","SCIMP",TRUE,5,73,98,1425,-2.71139361642978,2.39153604980814,1.06952743560247
"GSE301119","CRISPRi","D1","SELL",TRUE,5,90,98,1425,-0.365784682808605,1.78763241148095,0.799453518170658
"GSE301119","CRISPRi","D1","SELPLG",TRUE,5,92,98,1425,-1.28024400523903,1.51109988103225,0.675784410955992
"GSE301119","CRISPRi","D1","SERPINA1",TRUE,5,106,98,1425,0.867931310165634,1.90028851316059,0.849834858457816
"GSE301119","CRISPRi","D1","SIGLEC5",TRUE,5,72,98,1425,-1.66953109112485,2.28071800850907,1.01996810090684
"GSE301119","CRISPRi","D1","SIGLEC7",TRUE,5,79,98,1425,-2.92325962352373,2.22380118879772,0.994514125319308
"GSE301119","CRISPRi","D1","SIGLEC9",TRUE,5,94,98,1425,-1.12772489919566,1.05954442790356,0.473842673194696
"GSE301119","CRISPRi","D1","SIRPA",TRUE,5,71,98,1425,-0.251098861489472,0.763871745398647,0.341613829760557
"GSE301119","CRISPRi","D1","SIRPB1",TRUE,5,63,98,1425,-0.259380716566004,0.751088679969523,0.335897069108488
"GSE301119","CRISPRi","D1","SLC16A5",TRUE,5,76,98,1425,-0.803543024412204,1.69174507886743,0.756571399389663
"GSE301119","CRISPRi","D1","SLC24A4",TRUE,5,67,98,1425,-0.950853474502134,1.18260234775398,0.528875847985747
"GSE301119","CRISPRi","D1","SLC52A1",TRUE,4,33,98,1425,-0.105916393717026,0,0
"GSE301119","CRISPRi","D1","SNCA",TRUE,5,58,98,1425,1.3264409652847,0.700523238116937,0.313283516049549
"GSE301119","CRISPRi","D1","SORL1",TRUE,5,94,98,1425,-2.06255039321076,1.76986608704022,0.791508176338698
"GSE301119","CRISPRi","D1","SPI1",TRUE,5,69,98,1425,-1.80527401659303,1.15222752326874,0.515291813515023
"GSE301119","CRISPRi","D1","SPP1",TRUE,5,91,98,1425,-0.66405903195742,0.508423183714523,0.227373760024508
"GSE301119","CRISPRi","D1","SQSTM1",TRUE,5,108,98,1425,-0.773733905055277,0.900201627000736,0.402582406285911
