condition,factor_index,factor_r2,optimizer_step,representation
RLC_BASE,23,-0.028915882110595703,50,completed_state
RLC_BASE,24,-0.4969824552536011,50,completed_state
RLC_BASE,25,-0.18245315551757812,50,completed_state
RLC_BASE,26,0.14760667085647583,50,completed_state
RLC_BASE,27,0.16734617948532104,50,completed_state
RLC_BASE,28,-0.1419365406036377,50,completed_state
RLC_BASE,29,0.09403300285339355,50,completed_state
RLC_BASE,30,-0.01673412322998047,50,completed_state
RLC_BASE,31,-0.1356809139251709,50,completed_state
RLC_BASE,0,0.2602716088294983,100,completed_state
RLC_BASE,1,0.05392640829086304,100,completed_state
RLC_BASE,2,-0.009467840194702148,100,completed_state
RLC_BASE,3,0.1626071333885193,100,completed_state
RLC_BASE,4,-0.011251449584960938,100,completed_state
RLC_BASE,5,0.2918086647987366,100,completed_state
RLC_BASE,6,-0.15035521984100342,100,completed_state
RLC_BASE,7,-0.11885464191436768,100,completed_state
RLC_BASE,8,0.0606989860534668,100,completed_state
RLC_BASE,9,0.292697548866272,100,completed_state
RLC_BASE,10,-0.2545071840286255,100,completed_state
RLC_BASE,11,0.05693554878234863,100,completed_state
RLC_BASE,12,0.028804659843444824,100,completed_state
RLC_BASE,13,-0.0506744384765625,100,completed_state
RLC_BASE,14,0.08837848901748657,100,completed_state
RLC_BASE,15,-1.1784639358520508,100,completed_state
RLC_BASE,16,0.05785244703292847,100,completed_state
RLC_BASE,17,-0.06259512901306152,100,completed_state
RLC_BASE,18,-0.008170247077941895,100,completed_state
RLC_BASE,19,-0.17453014850616455,100,completed_state
RLC_BASE,20,-0.1268702745437622,100,completed_state
RLC_BASE,21,0.11087983846664429,100,completed_state
RLC_BASE,22,-0.009913206100463867,100,completed_state
RLC_BASE,23,-0.05948317050933838,100,completed_state
RLC_BASE,24,-0.4815850257873535,100,completed_state
RLC_BASE,25,-0.18853271007537842,100,completed_state
RLC_BASE,26,0.006293296813964844,100,completed_state
RLC_BASE,27,0.1962241530418396,100,completed_state
RLC_BASE,28,0.0020206570625305176,100,completed_state
RLC_BASE,29,-0.0071266889572143555,100,completed_state
RLC_BASE,30,-0.024103999137878418,100,completed_state
RLC_BASE,31,-0.21925580501556396,100,completed_state
RLC_CF,0,0.10373151302337646,0,completed_state
RLC_CF,1,-0.35600006580352783,0,completed_state
RLC_CF,2,-0.2855043411254883,0,completed_state
RLC_CF,3,0.006027162075042725,0,completed_state
RLC_CF,4,-0.11238276958465576,0,completed_state
RLC_CF,5,-0.2664843797683716,0,completed_state
RLC_CF,6,-0.21940529346466064,0,completed_state
RLC_CF,7,-0.5514323711395264,0,completed_state
RLC_CF,8,0.14575517177581787,0,completed_state
RLC_CF,9,0.18794995546340942,0,completed_state
RLC_CF,10,-0.38015711307525635,0,completed_state
RLC_CF,11,-0.05280876159667969,0,completed_state
RLC_CF,12,-0.08824479579925537,0,completed_state
RLC_CF,13,-0.15184998512268066,0,completed_state
RLC_CF,14,-0.4476337432861328,0,completed_state
RLC_CF,15,-0.6509953737258911,0,completed_state
RLC_CF,16,-0.04633760452270508,0,completed_state
RLC_CF,17,-0.31997597217559814,0,completed_state
RLC_CF,18,-0.15999233722686768,0,completed_state
RLC_CF,19,-0.41853606700897217,0,completed_state
RLC_CF,20,-0.4072788953781128,0,completed_state
RLC_CF,21,-0.0011612176895141602,0,completed_state
RLC_CF,22,-0.06946587562561035,0,completed_state
RLC_CF,23,-0.3346008062362671,0,completed_state
RLC_CF,24,-0.29826176166534424,0,completed_state
RLC_CF,25,-0.40368425846099854,0,completed_state
RLC_CF,26,-0.0482863187789917,0,completed_state
RLC_CF,27,0.17527425289154053,0,completed_state
RLC_CF,28,-0.017714619636535645,0,completed_state
RLC_CF,29,-0.15155625343322754,0,completed_state
RLC_CF,30,-0.40770435333251953,0,completed_state
RLC_CF,31,-0.35604941844940186,0,completed_state
RLC_CF,0,0.3260954022407532,25,completed_state
RLC_CF,1,0.06552106142044067,25,completed_state
RLC_CF,2,-0.11633586883544922,25,completed_state
RLC_CF,3,0.13800281286239624,25,completed_state
RLC_CF,4,0.026832401752471924,25,completed_state
RLC_CF,5,0.19710993766784668,25,completed_state
RLC_CF,6,-0.17796838283538818,25,completed_state
RLC_CF,7,-0.2517613172531128,25,completed_state
RLC_CF,8,0.021056175231933594,25,completed_state
RLC_CF,9,0.22779947519302368,25,completed_state
RLC_CF,10,-0.3164001703262329,25,completed_state
RLC_CF,11,0.06710487604141235,25,completed_state
RLC_CF,12,0.025514185428619385,25,completed_state
RLC_CF,13,-0.06852269172668457,25,completed_state
RLC_CF,14,-0.02456378936767578,25,completed_state
RLC_CF,15,-0.7846570014953613,25,completed_state
RLC_CF,16,-0.05031466484069824,25,completed_state
RLC_CF,17,-0.10784459114074707,25,completed_state
RLC_CF,18,-0.07185065746307373,25,completed_state
RLC_CF,19,-0.3640068769454956,25,completed_state
RLC_CF,20,-0.2996509075164795,25,completed_state
RLC_CF,21,0.18913650512695312,25,completed_state
RLC_CF,22,-0.07914853096008301,25,completed_state
RLC_CF,23,-0.0748521089553833,25,completed_state
RLC_CF,24,-0.48438870906829834,25,completed_state
RLC_CF,25,-0.2104184627532959,25,completed_state
RLC_CF,26,0.09516352415084839,25,completed_state
RLC_CF,27,0.24741309881210327,25,completed_state
RLC_CF,28,-0.2070600986480713,25,completed_state
RLC_CF,29,0.07381361722946167,25,completed_state
RLC_CF,30,-0.059432148933410645,25,completed_state
RLC_CF,31,-0.21969819068908691,25,completed_state
RLC_CF,0,0.36691755056381226,50,completed_state
RLC_CF,1,0.04477757215499878,50,completed_state
RLC_CF,2,-0.06661927700042725,50,completed_state
RLC_CF,3,0.14477938413619995,50,completed_state
RLC_CF,4,0.043714046478271484,50,completed_state
RLC_CF,5,0.26638495922088623,50,completed_state
RLC_CF,6,-0.004592418670654297,50,completed_state
RLC_CF,7,-0.1266394853591919,50,completed_state
RLC_CF,8,0.07520920038223267,50,completed_state
RLC_CF,9,0.27775031328201294,50,completed_state
RLC_CF,10,-0.2641890048980713,50,completed_state
RLC_CF,11,0.14044404029846191,50,completed_state
RLC_CF,12,-0.004799008369445801,50,completed_state
RLC_CF,13,0.026255369186401367,50,completed_state
RLC_CF,14,0.004570960998535156,50,completed_state
RLC_CF,15,-1.000732660293579,50,completed_state
RLC_CF,16,0.024389982223510742,50,completed_state
RLC_CF,17,-0.06963992118835449,50,completed_state
RLC_CF,18,-0.014718174934387207,50,completed_state
RLC_CF,19,-0.41685664653778076,50,completed_state
RLC_CF,20,-0.22935914993286133,50,completed_state
RLC_CF,21,0.24320709705352783,50,completed_state
RLC_CF,22,-0.035646796226501465,50,completed_state
RLC_CF,23,-0.021628260612487793,50,completed_state
RLC_CF,24,-0.5394843816757202,50,completed_state
RLC_CF,25,-0.16177892684936523,50,completed_state
RLC_CF,26,0.14310401678085327,50,completed_state
RLC_CF,27,0.18732613325119019,50,completed_state
RLC_CF,28,-0.16231536865234375,50,completed_state
RLC_CF,29,0.12157154083251953,50,completed_state
RLC_CF,30,-0.033799052238464355,50,completed_state
RLC_CF,31,-0.1724245548248291,50,completed_state
RLC_CF,0,0.25464338064193726,100,completed_state
RLC_CF,1,0.028781771659851074,100,completed_state
RLC_CF,2,0.021923184394836426,100,completed_state
RLC_CF,3,0.12912964820861816,100,completed_state
RLC_CF,4,-0.0649651288986206,100,completed_state
RLC_CF,5,0.30476313829421997,100,completed_state
RLC_CF,6,-0.09520483016967773,100,completed_state
RLC_CF,7,-0.12459230422973633,100,completed_state
RLC_CF,8,0.008580386638641357,100,completed_state
RLC_CF,9,0.26215213537216187,100,completed_state
RLC_CF,10,-0.22268736362457275,100,completed_state
RLC_CF,11,0.0379909873008728,100,completed_state
RLC_CF,12,0.024104952812194824,100,completed_state
RLC_CF,13,-0.11982691287994385,100,completed_state
RLC_CF,14,0.0738530158996582,100,completed_state
RLC_CF,15,-1.2726263999938965,100,completed_state
RLC_CF,16,0.041804492473602295,100,completed_state
RLC_CF,17,-0.0879591703414917,100,completed_state
RLC_CF,18,-0.00422215461730957,100,completed_state
RLC_CF,19,-0.1705930233001709,100,completed_state
RLC_CF,20,-0.1272423267364502,100,completed_state
RLC_CF,21,0.14041566848754883,100,completed_state
RLC_CF,22,-0.016293883323669434,100,completed_state
RLC_CF,23,-0.061440348625183105,100,completed_state
RLC_CF,24,-0.5012211799621582,100,completed_state
RLC_CF,25,-0.1878809928894043,100,completed_state
RLC_CF,26,0.02971792221069336,100,completed_state
RLC_CF,27,0.17909932136535645,100,completed_state
RLC_CF,28,0.03902679681777954,100,completed_state
RLC_CF,29,0.01208728551864624,100,completed_state
RLC_CF,30,-0.022454500198364258,100,completed_state
RLC_CF,31,-0.21437716484069824,100,completed_state
RLC_CAUSAL_DAG,0,0.154693603515625,0,completed_state
RLC_CAUSAL_DAG,1,-0.023272037506103516,0,completed_state
RLC_CAUSAL_DAG,2,-0.2042708396911621,0,completed_state
RLC_CAUSAL_DAG,3,-0.04562258720397949,0,completed_state
RLC_CAUSAL_DAG,4,0.03773832321166992,0,completed_state
RLC_CAUSAL_DAG,5,0.12853962182998657,0,completed_state
RLC_CAUSAL_DAG,6,-0.14898860454559326,0,completed_state
RLC_CAUSAL_DAG,7,-0.30098795890808105,0,completed_state
RLC_CAUSAL_DAG,8,0.1403244137763977,0,completed_state
RLC_CAUSAL_DAG,9,0.35229599475860596,0,completed_state
RLC_CAUSAL_DAG,10,-0.07605791091918945,0,completed_state
RLC_CAUSAL_DAG,11,0.20022892951965332,0,completed_state
RLC_CAUSAL_DAG,12,-0.11953973770141602,0,completed_state
RLC_CAUSAL_DAG,13,-0.09311223030090332,0,completed_state
RLC_CAUSAL_DAG,14,-0.3437819480895996,0,completed_state
RLC_CAUSAL_DAG,15,-0.6117830276489258,0,completed_state
RLC_CAUSAL_DAG,16,0.07409590482711792,0,completed_state
RLC_CAUSAL_DAG,17,-0.16979408264160156,0,completed_state
RLC_CAUSAL_DAG,18,-0.10963261127471924,0,completed_state
RLC_CAUSAL_DAG,19,-0.1978464126586914,0,completed_state
RLC_CAUSAL_DAG,20,-0.07699596881866455,0,completed_state
RLC_CAUSAL_DAG,21,-0.035712242126464844,0,completed_state
RLC_CAUSAL_DAG,22,-0.045496225357055664,0,completed_state
RLC_CAUSAL_DAG,23,-0.0821540355682373,0,completed_state
RLC_CAUSAL_DAG,24,-0.07521176338195801,0,completed_state
RLC_CAUSAL_DAG,25,-0.14676642417907715,0,completed_state
RLC_CAUSAL_DAG,26,-0.02130305767059326,0,completed_state
RLC_CAUSAL_DAG,27,0.19609755277633667,0,completed_state
RLC_CAUSAL_DAG,28,0.010313212871551514,0,completed_state
RLC_CAUSAL_DAG,29,0.05848979949951172,0,completed_state
RLC_CAUSAL_DAG,30,-0.036902546882629395,0,completed_state
RLC_CAUSAL_DAG,31,-0.07155728340148926,0,completed_state
RLC_CAUSAL_DAG,0,0.26773661375045776,25,completed_state
RLC_CAUSAL_DAG,1,0.1292164921760559,25,completed_state
RLC_CAUSAL_DAG,2,-0.3737989664077759,25,completed_state
RLC_CAUSAL_DAG,3,-0.11547446250915527,25,completed_state
RLC_CAUSAL_DAG,4,-0.11225640773773193,25,completed_state
RLC_CAUSAL_DAG,5,0.327841579914093,25,completed_state
RLC_CAUSAL_DAG,6,0.16283196210861206,25,completed_state
RLC_CAUSAL_DAG,7,-0.06344270706176758,25,completed_state
RLC_CAUSAL_DAG,8,0.3547108769416809,25,completed_state
RLC_CAUSAL_DAG,9,0.3887327313423157,25,completed_state
RLC_CAUSAL_DAG,10,-0.20381677150726318,25,completed_state
RLC_CAUSAL_DAG,11,0.18198847770690918,25,completed_state
RLC_CAUSAL_DAG,12,-0.0002655982971191406,25,completed_state
RLC_CAUSAL_DAG,13,-0.0644381046295166,25,completed_state
RLC_CAUSAL_DAG,14,-0.11443138122558594,25,completed_state
RLC_CAUSAL_DAG,15,-0.3596031665802002,25,completed_state
RLC_CAUSAL_DAG,16,0.2275208830833435,25,completed_state
RLC_CAUSAL_DAG,17,0.01366722583770752,25,completed_state
RLC_CAUSAL_DAG,18,0.058842599391937256,25,completed_state
RLC_CAUSAL_DAG,19,-0.05279958248138428,25,completed_state
RLC_CAUSAL_DAG,20,-0.017333388328552246,25,completed_state
RLC_CAUSAL_DAG,21,0.22626161575317383,25,completed_state
RLC_CAUSAL_DAG,22,0.046188950538635254,25,completed_state
RLC_CAUSAL_DAG,23,0.06337445974349976,25,completed_state
RLC_CAUSAL_DAG,24,-0.13348984718322754,25,completed_state
RLC_CAUSAL_DAG,25,0.033284783363342285,25,completed_state
RLC_CAUSAL_DAG,26,0.2549717426300049,25,completed_state
RLC_CAUSAL_DAG,27,0.19181054830551147,25,completed_state
RLC_CAUSAL_DAG,28,0.14320260286331177,25,completed_state
RLC_CAUSAL_DAG,29,0.06933248043060303,25,completed_state
RLC_CAUSAL_DAG,30,0.13925939798355103,25,completed_state
