vocabulary_index,canonical_ensembl_gene_id,canonical_hgnc_symbol,eligible_study_family_fraction,training_donor_measurement_fraction,donor_balanced_detection_rate,donor_balanced_expression_variability,broad_cell_class_coverage,cross_study_rank_stability,missingness_entropy,technical_flags,selection_score,vocabulary_eligible,selection_reason,vocabulary_hash
1000,ENSG00000005700,IBTK,1.0,1.0,0.6488097849878646,0.011854704605443953,1.0,0.926178130812887,0.0,,0.777828236096474,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
1001,ENSG00000158560,DYNC1I1,1.0,1.0,0.6737800660093578,0.013415898144851826,1.0,0.821052845901437,0.0,,0.7777943996770097,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
1002,ENSG00000180628,PCGF5,1.0,1.0,0.6611473829450847,0.007064632555929964,1.0,0.8894725394269631,0.0,,0.7777553646061135,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
1003,ENSG00000213096,ZNF254,1.0,1.0,0.6558559281502184,0.007221106583028253,1.0,0.910135439963883,0.0,,0.7777533580347373,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
1004,ENSG00000173230,GOLGB1,1.0,1.0,0.6450124900182929,0.007548418350213484,1.0,0.9524740091268722,0.0,,0.7777499784510283,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
1005,ENSG00000182903,ZNF721,1.0,1.0,0.6596201221453026,0.007654641364278022,1.0,0.8932433003874929,0.0,,0.7777256633887202,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
1006,ENSG00000184005,ST6GALNAC3,1.0,1.0,0.6259972862410673,0.019695714971029052,1.0,0.9925727409499777,0.0,,0.7777253872844726,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
1007,ENSG00000169045,HNRNPH1,1.0,1.0,0.6519506879515876,0.010239254012995204,1.0,0.9157001553805961,0.0,,0.7776954665068857,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
1008,ENSG00000176390,CRLF3,1.0,1.0,0.6251304294732728,0.034172951588237965,1.0,0.9541772892138938,0.0,,0.7776915127275941,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
1009,ENSG00000007237,GAS7,1.0,1.0,0.6547042805252269,0.02035892426285768,1.0,0.8739079848142296,0.0,,0.7776291616327626,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
1010,ENSG00000135870,RC3H1,1.0,1.0,0.6463051304756909,0.004177161503475707,1.0,0.9547889396596246,0.0,,0.7776244408893205,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
1011,ENSG00000198646,NCOA6,1.0,1.0,0.6405751247886647,0.004918675088920319,1.0,0.975113343032294,0.0,,0.777604882130518,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
1012,ENSG00000097007,ABL1,1.0,1.0,0.640113692255735,0.006347638091465854,1.0,0.9709533915532453,0.0,,0.7775165479884814,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
1013,ENSG00000129292,PHF20L1,1.0,1.0,0.6495081905052555,0.009853751295815522,1.0,0.9223589764883747,0.0,,0.7774832272718821,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
1014,ENSG00000106617,PRKAG2,1.0,1.0,0.6502451856210093,0.014272076811602032,1.0,0.9064174770734382,0.0,,0.7774805986036931,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
1015,ENSG00000138069,RAB1A,1.0,1.0,0.6375794969517798,0.004624078479192126,1.0,0.9853098009487233,0.0,,0.7774718086570177,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
1016,ENSG00000205531,NAP1L4,1.0,1.0,0.6391975951078916,0.005894390424542393,1.0,0.9731837287907811,0.0,,0.7773776829880805,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
1017,ENSG00000038219,BOD1L1,1.0,1.0,0.6398570290532085,0.006306945019713332,1.0,0.9689175692502198,0.0,,0.7773573967881653,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
1018,ENSG00000196104,SPOCK3,1.0,1.0,0.6243687699050299,0.037582757738193785,1.0,0.940979021706705,0.0,,0.7773559233987449,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
1019,ENSG00000196141,SPATS2L,1.0,1.0,0.6387626366464562,0.008239826089731254,1.0,0.9673289706831165,0.0,,0.7773448487971252,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
1020,ENSG00000131437,KIF3A,1.0,1.0,0.6574732167345438,0.007590974792607341,1.0,0.8939941487850893,0.0,,0.7773244186880969,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
1021,ENSG00000147162,OGT,1.0,1.0,0.6583118190158079,0.007039329880215037,1.0,0.8911762663436605,0.0,,0.7772696957339701,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
1022,ENSG00000083544,TDRD3,1.0,1.0,0.6389408617580458,0.008691499679905939,1.0,0.9634747045979468,0.0,,0.77725439884608,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
1023,ENSG00000147481,SNTG1,1.0,1.0,0.7036955114115119,0.051331205541045,0.9047619047619048,0.7742540185661975,0.0,,0.777251737898499,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
1024,ENSG00000189079,ARID2,1.0,1.0,0.6346943176227816,0.00630941213304348,1.0,0.9855994524493371,0.0,,0.7771593141039475,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
1025,ENSG00000080815,PSEN1,1.0,1.0,0.6289437605046823,0.01508063630240553,1.0,0.9827249655893726,0.0,,0.7771534888023702,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
1026,ENSG00000132334,PTPRE,1.0,1.0,0.6360605941570189,0.01625491216541569,1.0,0.9493889227761105,0.0,,0.777080802401315,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
1027,ENSG00000144451,SPAG16,1.0,1.0,0.6561475827383169,0.011056431102178918,1.0,0.8833211269649689,0.0,,0.7770359013823436,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
1028,ENSG00000126091,ST3GAL3,1.0,1.0,0.6481593544285267,0.008949683368750903,1.0,0.9212430123923783,0.0,,0.7770245660581808,True,exact_donor_balanced_cross_family_eligible,f2759db27218c7f9e716974bbdb7c6bcdfc2858a6b3e1acca4d7d97eea2abecb
