belief_factor_r2,belief_minus_visible_factor_r2,calibration_regime,calibration_scale,coverage_1_96sigma,coverage_1sigma,family,gaussian_severe_fraction,joint_scale,measured_genes,median_logdet,median_trace,nll,panel,prior_nll,standardized_variance,uncertainty_error_spearman,variant,view,visible_factor_r2
0.8439773321151733,-3.5762786865234375e-07,ordinary_raw,1.0,0.9632507562637329,0.8805602788925171,RANDOM_STRUCTURAL,0.0062500000931322575,0.6015702486038208,1638,-225.78672790527344,39.80769348144531,0.5142166018486023,P40,0.5862141847610474,0.4866551458835602,0.09645796567201614,RAW,2,0.843977689743042
0.8439773321151733,-3.5762786865234375e-07,historical_total_scalar,0.39422914385795593,0.9150635004043579,0.7430480718612671,RANDOM_STRUCTURAL,0.0062500000931322575,1.5259405374526978,1638,-374.7183837890625,15.693352699279785,0.5109902024269104,P40,0.5862141847610474,1.2344473600387573,0.09649140387773514,HISTORICAL_TOTAL_SCALAR,2,0.843977689743042
0.8439773321151733,-3.5762786865234375e-07,conditional_only_scalar,0.7467898660886485,0.952502429485321,0.865985095500946,RANDOM_STRUCTURAL,0.0062500000931322575,0.7414361238479614,1638,-242.25735473632812,36.36944580078125,0.5326640605926514,P40,0.5862141847610474,0.600574791431427,0.0964517742395401,CONDITIONAL_ONLY_SCALAR,2,0.843977689743042
0.7558143138885498,4.172325134277344e-07,ordinary_raw,1.0,0.939697265625,0.865740954875946,RANDOM_STRUCTURAL,0.0062500000931322575,0.9047131538391113,819,-214.7290496826172,42.88933563232422,0.7003319263458252,P20,0.7448617815971375,0.7372798323631287,0.09976156800985336,RAW,2,0.7558138966560364
0.7558143138885498,4.172325134277344e-07,historical_total_scalar,0.39422914385795593,0.892437756061554,0.757537841796875,RANDOM_STRUCTURAL,0.0062500000931322575,2.294891357421875,819,-363.6607360839844,16.908227920532227,0.9300097227096558,P20,0.7448617815971375,1.8701808452606201,0.09975695610046387,HISTORICAL_TOTAL_SCALAR,2,0.7558138966560364
0.7558143138885498,4.172325134277344e-07,conditional_only_scalar,0.7467898660886485,0.9281860589981079,0.8539184331893921,RANDOM_STRUCTURAL,0.0062500000931322575,1.1418710947036743,819,-233.2176971435547,38.67078399658203,0.7611221075057983,P20,0.7448617815971375,0.9317496418952942,0.09975457191467285,CONDITIONAL_ONLY_SCALAR,2,0.7558138966560364
0.9218267202377319,1.0728836059570312e-06,ordinary_raw,1.0,1.0,1.0,RANDOM_STRUCTURAL,0.3125,0.0033052561338990927,4096,-241.59365844726562,35.88251495361328,0.16569305956363678,FULL,0.3114180266857147,3.949913661926985e-05,-0.9996594786643982,RAW,3,0.921825647354126
0.9218267202377319,1.0728836059570312e-06,ordinary_raw,1.0,1.0,1.0,RANDOM_STRUCTURAL,0.3125,0.0033052561338990927,4096,-241.59365844726562,35.88251495361328,0.16569305956363678,FULL,0.3114180266857147,3.949913661926985e-05,-0.9996594786643982,HISTORICAL_TOTAL_SCALAR,3,0.921825647354126
0.9218267202377319,1.0728836059570312e-06,ordinary_raw,1.0,1.0,1.0,RANDOM_STRUCTURAL,0.3125,0.0033052561338990927,4096,-241.59365844726562,35.88251495361328,0.16569305956363678,FULL,0.3114180266857147,3.949913661926985e-05,-0.9996594786643982,CONDITIONAL_ONLY_SCALAR,3,0.921825647354126
0.9085346460342407,1.0132789611816406e-06,ordinary_raw,1.0,0.999987781047821,0.9822448492050171,RANDOM_STRUCTURAL,0.0,0.15542839467525482,3277,-237.9014129638672,36.752235412597656,0.2532891035079956,P80,0.3727179765701294,0.11826521158218384,0.08059332519769669,RAW,3,0.9085336327552795
0.9085346460342407,1.0132789611816406e-06,historical_total_scalar,0.39422914385795593,0.9955688714981079,0.892254650592804,RANDOM_STRUCTURAL,0.0,0.3942590057849884,3277,-386.83306884765625,14.488802909851074,-0.09270703792572021,P80,0.3727179765701294,0.29999104142189026,0.08058244735002518,HISTORICAL_TOTAL_SCALAR,3,0.9085336327552795
0.9085346460342407,1.0132789611816406e-06,conditional_only_scalar,0.7467898660886485,0.999926745891571,0.97430419921875,RANDOM_STRUCTURAL,0.0,0.17646043002605438,3277,-252.03164672851562,34.08766174316406,0.21963171660900116,P80,0.3727179765701294,0.13494160771369934,0.0806085392832756,CONDITIONAL_ONLY_SCALAR,3,0.9085336327552795
0.8858826160430908,4.76837158203125e-07,ordinary_raw,1.0,0.988037109375,0.9179626703262329,RANDOM_STRUCTURAL,0.0,0.35649773478507996,2458,-232.90960693359375,37.97330856323242,0.3694222569465637,P60,0.4647970497608185,0.28601211309432983,0.10275298357009888,RAW,3,0.8858821392059326
0.8858826160430908,4.76837158203125e-07,historical_total_scalar,0.39422914385795593,0.950665295124054,0.77813720703125,RANDOM_STRUCTURAL,0.0,0.9042906165122986,2458,-381.8412780761719,14.970185279846191,0.17790722846984863,P60,0.4647970497608185,0.7254970669746399,0.10273165255784988,HISTORICAL_TOTAL_SCALAR,3,0.8858821392059326
0.8858826160430908,4.76837158203125e-07,conditional_only_scalar,0.7467898660886485,0.980786144733429,0.903186023235321,RANDOM_STRUCTURAL,0.0,0.4249536693096161,2458,-248.0175018310547,34.99954605102539,0.35642239451408386,P60,0.4647970497608185,0.34155896306037903,0.10271701961755753,CONDITIONAL_ONLY_SCALAR,3,0.8858821392059326
0.8424957394599915,9.5367431640625e-07,ordinary_raw,1.0,0.9628356695175171,0.876361072063446,RANDOM_STRUCTURAL,0.0062500000931322575,0.6146321892738342,1638,-225.78778076171875,39.80741882324219,0.5207436084747314,P40,0.5918314456939697,0.4982171654701233,0.11400019377470016,RAW,3,0.842494785785675
0.8424957394599915,9.5367431640625e-07,historical_total_scalar,0.39422914385795593,0.9118713140487671,0.737475574016571,RANDOM_STRUCTURAL,0.0062500000931322575,1.5590734481811523,1638,-374.719482421875,15.693243026733398,0.5275528430938721,P40,0.5918314456939697,1.2637755870819092,0.11399737000465393,HISTORICAL_TOTAL_SCALAR,3,0.842494785785675
0.8424957394599915,9.5367431640625e-07,conditional_only_scalar,0.7467898660886485,0.9519897699356079,0.862457275390625,RANDOM_STRUCTURAL,0.0062500000931322575,0.7569862604141235,1638,-242.25819396972656,36.369232177734375,0.5404359102249146,P40,0.5918314456939697,0.6142761707305908,0.1139894351363182,CONDITIONAL_ONLY_SCALAR,3,0.842494785785675
0.7530660629272461,2.7418136596679688e-06,ordinary_raw,1.0,0.9390624761581421,0.8652404546737671,RANDOM_STRUCTURAL,0.012500000186264515,0.9083375334739685,819,-214.7091827392578,42.89520263671875,0.7022004127502441,P20,0.7466539144515991,0.7409396171569824,0.11601387709379196,RAW,3,0.7530633211135864
0.7530660629272461,2.7418136596679688e-06,historical_total_scalar,0.39422914385795593,0.8916991949081421,0.75799560546875,RANDOM_STRUCTURAL,0.012500000186264515,2.3040847778320312,819,-363.640869140625,16.910539627075195,0.9346627593040466,P20,0.7466539144515991,1.8794643878936768,0.11599401384592056,HISTORICAL_TOTAL_SCALAR,3,0.7530633211135864
0.7530660629272461,2.7418136596679688e-06,conditional_only_scalar,0.7467898660886485,0.927539050579071,0.852954089641571,RANDOM_STRUCTURAL,0.012500000186264515,1.145824670791626,819,-233.20140075683594,38.675167083740234,0.7631451487541199,P20,0.7466539144515991,0.9353846311569214,0.11600281298160553,CONDITIONAL_ONLY_SCALAR,3,0.7530633211135864
0.9218270778656006,1.430511474609375e-06,ordinary_raw,1.0,1.0,1.0,COHERENT_STRUCTURAL,0.26875001192092896,0.0036599484737962484,4096,-230.481689453125,38.32911682128906,0.20060700178146362,FULL,0.40792375802993774,4.25538128183689e-05,-0.9987571239471436,RAW,0,0.921825647354126
0.9218270778656006,1.430511474609375e-06,ordinary_raw,1.0,1.0,1.0,COHERENT_STRUCTURAL,0.26875001192092896,0.0036599484737962484,4096,-230.481689453125,38.32911682128906,0.20060700178146362,FULL,0.40792375802993774,4.25538128183689e-05,-0.9987571239471436,HISTORICAL_TOTAL_SCALAR,0,0.921825647354126
0.9218270778656006,1.430511474609375e-06,ordinary_raw,1.0,1.0,1.0,COHERENT_STRUCTURAL,0.26875001192092896,0.0036599484737962484,4096,-230.481689453125,38.32911682128906,0.20060700178146362,FULL,0.40792375802993774,4.25538128183689e-05,-0.9987571239471436,CONDITIONAL_ONLY_SCALAR,0,0.921825647354126
0.8995544910430908,2.6226043701171875e-06,ordinary_raw,1.0,0.998522937297821,0.943768322467804,COHERENT_STRUCTURAL,0.0,0.26652634143829346,3277,-226.018798828125,39.45802307128906,0.34598883986473083,P80,0.5023527145385742,0.19130875170230865,0.09879830479621887,RAW,0,0.8995518684387207
0.8995544910430908,2.6226043701171875e-06,historical_total_scalar,0.39422914385795593,0.975573718547821,0.794921875,COHERENT_STRUCTURAL,0.0,0.6760696172714233,3277,-374.95050048828125,15.555500984191895,0.08534897118806839,P80,0.5023527145385742,0.48527294397354126,0.09881411492824554,HISTORICAL_TOTAL_SCALAR,0,0.8995518684387207
0.8995544910430908,2.6226043701171875e-06,conditional_only_scalar,0.7467898660886485,0.996508777141571,0.928912341594696,COHERENT_STRUCTURAL,0.0,0.3084676265716553,3277,-240.97039794921875,36.087074279785156,0.3202163577079773,P80,0.5023527145385742,0.2257302701473236,0.0988200306892395,CONDITIONAL_ONLY_SCALAR,0,0.8995518684387207
0.8560953140258789,3.814697265625e-06,ordinary_raw,1.0,0.98388671875,0.906115710735321,COHERENT_STRUCTURAL,0.0,0.43645790219306946,2458,-219.91542053222656,41.06770706176758,0.4500189423561096,P60,0.5895649790763855,0.31382736563682556,0.06730486452579498,RAW,0,0.8560914993286133
