cell,changed_direction_std,changed_direction_variance,delta_cosine,predicted_effect_norm,true_effect_norm
166,0.553165853023529,0.3059924840927124,0.5041021817992666,1.3489819765090942,1.4428437428102123
167,0.6750189661979675,0.4556506276130676,0.3535239301616563,1.2719486951828003,1.2893180141954919
168,0.44255247712135315,0.19585268199443817,0.3256514008565281,1.4206901788711548,1.0115120185247892
169,0.4694176912307739,0.22035297751426697,0.28981433848253435,1.6286098957061768,1.0749457285162451
170,0.461711049079895,0.21317709982395172,0.48109501185804404,1.516869068145752,1.019581463632707
171,0.5160254240036011,0.26628223061561584,0.3598037338585994,1.5032868385314941,1.1466381007172717
172,0.4686823785305023,0.21966317296028137,0.36901220489624104,1.5519737005233765,1.2211846148054473
173,0.48883384466171265,0.23895852267742157,0.5411678810036107,1.8309296369552612,1.34253898297957
174,0.4970668852329254,0.24707549810409546,0.3729751224866338,1.4132930040359497,1.161509990221903
175,0.5152853727340698,0.26551902294158936,0.6133424815436681,1.6462427377700806,1.4903533655566952
176,0.5050499439239502,0.25507545471191406,0.26169201209275006,1.606927752494812,1.2530339347016457
177,0.5089350938796997,0.25901490449905396,0.503274700668837,2.1001081466674805,1.2901912829925246
178,0.5436939001083374,0.29560303688049316,0.43424107985177984,1.6379356384277344,1.4377593608971835
179,0.6668381094932556,0.444673091173172,0.4487272941857144,1.2151051759719849,1.3238890072082166
180,0.4392056167125702,0.1929015815258026,0.22457802850037234,1.8477869033813477,1.0107754710656571
181,0.47270458936691284,0.22344963252544403,0.440618842119748,1.6984933614730835,1.109239801882568
182,0.4600123465061188,0.21161136031150818,0.3852730962824561,1.6485434770584106,1.0702534553477128
183,0.511793315410614,0.2619324028491974,0.5032586956397733,1.1003453731536865,1.2091898482556505
184,0.46513715386390686,0.21635258197784424,0.33399541888741985,1.7962124347686768,1.2050241835770603
185,0.4881207048892975,0.23826183378696442,0.4579701833902621,1.8487011194229126,1.3369142100270823
186,0.5051483511924744,0.255174845457077,0.4336636941965648,1.2403703927993774,1.2161935204721963
187,0.5175244808197021,0.26783159375190735,0.43108743398760563,1.4054019451141357,1.4436698668518473
188,0.5057228803634644,0.25575563311576843,0.6193664603484008,1.113996148109436,1.26836473606741
189,0.5175838470458984,0.2678930461406708,0.4997115700975865,1.4654589891433716,1.2057751678129007
190,0.5518472194671631,0.3045353591442108,0.599723386606493,1.1759089231491089,1.4594009706651816
191,0.6515017747879028,0.42445454001426697,0.5520284379842384,1.556532859802246,1.3697665660450182
192,0.4600508511066437,0.21164679527282715,0.39766442513412475,1.5896419286727905,1.0997719958663053
193,0.46568945050239563,0.21686667203903198,0.3148755820542055,2.1585843563079834,1.1691298231403786
