stratum_type,stratum_key,mask_fraction,n_mask_evaluations,n_unique_cells,visible_measured_genes_p05,visible_measured_genes_p25,visible_measured_genes_p50,visible_measured_genes_p75,visible_measured_genes_p95,visible_detected_genes_p05,visible_detected_genes_p25,visible_detected_genes_p50,visible_detected_genes_p75,visible_detected_genes_p95,fraction_detected_genes_retained_p05,fraction_detected_genes_retained_p25,fraction_detected_genes_retained_p50,fraction_detected_genes_retained_p75,fraction_detected_genes_retained_p95,fraction_transformed_signal_retained_p05,fraction_transformed_signal_retained_p25,fraction_transformed_signal_retained_p50,fraction_transformed_signal_retained_p75,fraction_transformed_signal_retained_p95,fraction_raw_vocab_count_mass_retained_p05,fraction_raw_vocab_count_mass_retained_p25,fraction_raw_vocab_count_mass_retained_p50,fraction_raw_vocab_count_mass_retained_p75,fraction_raw_vocab_count_mass_retained_p95,fraction_cells_below_100_visible_detected,fraction_cells_below_250_visible_detected,fraction_cells_below_500_visible_detected
broad_cell_class,Astro,0.4,108,36,2458.0,2458.0,2458.0,2458.0,2458.0,433.0,1055.75,1306.5,1551.75,1717.0999999999992,0.589302578890372,0.5960484624686433,0.601448820029535,0.6063522103502823,0.6160482029090034,0.5862434320327946,0.5951286620765315,0.6012725739378373,0.6106400328447019,0.6192336738222514,0.5204421971953851,0.5689305532131942,0.6148675251505233,0.647801257282907,0.6779375920795577,0.0,0.0,0.08333333333333333
broad_cell_class,Astro,0.5,108,36,2048.0,2048.0,2048.0,2048.0,2048.0,354.35,883.25,1094.0,1290.75,1429.7999999999993,0.4879787075685805,0.49522542987964785,0.5015990301174069,0.5067101096912813,0.5189079177470903,0.4849337552548442,0.49505734550629465,0.5028552865778387,0.5090876626092642,0.5208657337148624,0.4181126951841132,0.4629503737962358,0.5044129227655118,0.5399456934085046,0.5692688422372978,0.0,0.0,0.08333333333333333
broad_cell_class,Astro,0.6,108,36,1639.0,1639.0,1639.0,1639.0,1639.0,284.45,711.75,874.0,1030.0,1141.1999999999996,0.3890161223614502,0.3950350268320332,0.40070577047387,0.40589406156709895,0.41770153877150124,0.3853396763028053,0.3943059578406782,0.4022474812528213,0.4080907421472633,0.4184315739198917,0.3316102663747434,0.3624670375528808,0.3964604582993064,0.44463537575281487,0.47898762943439044,0.0,0.0,0.16666666666666666
broad_cell_class,Astro,0.7,108,36,1229.0,1229.0,1229.0,1229.0,1229.0,220.4,531.75,659.5,774.0,865.7499999999997,0.2885847669860627,0.2961662256040813,0.301288055682296,0.3055273286451683,0.3126590786955335,0.2834972301614044,0.2941956440488826,0.3001775492937223,0.30795856085267326,0.31711223732687105,0.24363342303291624,0.2675069577731827,0.29173829501128695,0.3329530210322528,0.3770789273618965,0.0,0.08333333333333333,0.24074074074074073
broad_cell_class,AstrocyteSubclass,0.15,222,74,3482.0,3482.0,3482.0,3482.0,3482.0,867.55,1521.25,1864.0,2341.5,2749.7999999999993,0.8394968835467018,0.8462808540443054,0.8492378685878965,0.8527505882905245,0.8607959393010829,0.8370071330419485,0.844154673023264,0.849060027267863,0.8537987909789011,0.8613175436926305,0.7922651591164004,0.8415351728713515,0.8563297851625884,0.8701611531535329,0.8832670992057244,0.0,0.0,0.013513513513513514
broad_cell_class,AstrocyteSubclass,0.25,222,74,3072.0,3072.0,3072.0,3072.0,3072.0,769.4,1344.75,1654.5,2068.0,2427.6499999999996,0.7366257721101022,0.7455903936917233,0.7491012200472285,0.7541053575310875,0.7626068147481992,0.733700957835741,0.7436360995382244,0.7496589322544742,0.7553078608174727,0.763773950893802,0.6613383796845703,0.7348832081674106,0.7580160127615423,0.7771168345738177,0.7997545928641799,0.0,0.0,0.013513513513513514
broad_cell_class,AstrocyteSubclass,0.4,222,74,2458.0,2458.0,2458.0,2458.0,2458.0,614.1,1070.0,1319.5,1649.5,1934.9499999999998,0.5848868623728286,0.5956336613541507,0.5996810692402934,0.6048955588980259,0.6121946180793195,0.5811860941287749,0.5930609804016462,0.6006859360727439,0.6069906822575595,0.614651019474504,0.5059851113606557,0.5630541840789418,0.6087697769359754,0.6311236366327306,0.6692411238428138,0.0,0.0,0.013513513513513514
broad_cell_class,AstrocyteSubclass,0.5,222,74,2048.0,2048.0,2048.0,2048.0,2048.0,504.6,883.25,1091.0,1371.0,1607.55,0.48622540798923053,0.49494460283171315,0.49975133503237945,0.503876552789752,0.5131808536804737,0.4805330738758437,0.492639551416983,0.5004173328922943,0.507044882257642,0.5182450916429571,0.42057371902038376,0.45859472985105176,0.4952279205304785,0.5314433338080277,0.5833847541835403,0.0,0.0,0.04054054054054054
broad_cell_class,AstrocyteSubclass,0.6,222,74,1639.0,1639.0,1639.0,1639.0,1639.0,409.5,702.0,874.5,1097.75,1291.75,0.38461468165968615,0.39499335413878145,0.39896526993666853,0.40366782335088813,0.4135753136598284,0.380577216168958,0.39272729219396435,0.40036319762955586,0.40701581427382943,0.41644544595281663,0.3261804494821962,0.36267066517516094,0.38993220727269484,0.43582810462372507,0.47807613113304104,0.0,0.013513513513513514,0.11711711711711711
broad_cell_class,AstrocyteSubclass,0.7,222,74,1229.0,1229.0,1229.0,1229.0,1229.0,306.2,522.25,657.5,822.75,961.8499999999999,0.2848226289534745,0.295828055288783,0.29989810096306,0.30366579270328065,0.3105580205805385,0.2856223097889436,0.2942003860362611,0.2998925626216167,0.30556577695843967,0.31312093455934625,0.24043284575345114,0.2661725984043198,0.28993661132748516,0.3229232898531178,0.3842489567175731,0.0,0.013513513513513514,0.22072072072072071
