best_count_completed_r2,best_count_predictor,best_expected_completed_r2,best_expected_predictor,factor,family,full_lambda_pca_r2,hidden_loading_fraction,hidden_reporter_fraction,identifiability_class,identifiability_ratio,view,visible_lambda_r2,visible_loading_fraction,visible_reporter_fraction,visible_x_a_r2
0.8016433715820312,ridge_count,0.999785304069519,ridge_expected,21,RANDOM_40,0.9997851252555847,0.35260409116744995,0.3526785671710968,HIGHLY_IDENTIFIABLE,0.8018156615173679,1,0.999768853187561,0.64739590883255,0.6473214030265808,0.8557513952255249
0.8201860785484314,ridge_count,0.9997560977935791,ridge_expected,22,RANDOM_40,0.9997543096542358,0.39303016662597656,0.3928571343421936,HIGHLY_IDENTIFIABLE,0.820387639871332,1,0.9997835755348206,0.6069698333740234,0.6071428656578064,0.8613467812538147
0.8084198832511902,ridge_count,0.9998257756233215,ridge_expected,23,RANDOM_40,0.9998298287391663,0.35403162240982056,0.3571428656578064,HIGHLY_IDENTIFIABLE,0.8085574764964222,1,0.9997972846031189,0.6459684371948242,0.6428571343421936,0.8558923006057739
0.8388104438781738,ridge_count,0.9998225569725037,ridge_expected,24,RANDOM_40,0.9998230934143066,0.4046919345855713,0.4017857015132904,HIGHLY_IDENTIFIABLE,0.8389588612258505,1,0.9998233914375305,0.5953081250190735,0.5982142686843872,0.9101127982139587
0.8474377393722534,ridge_count,0.9997522234916687,ridge_expected,25,RANDOM_40,0.9997522830963135,0.3623238503932953,0.3616071343421936,HIGHLY_IDENTIFIABLE,0.8476477160398878,1,0.9997866749763489,0.6376761794090271,0.6383928656578064,0.8795639276504517
0.7965645790100098,ridge_count,0.9997495412826538,ridge_expected,26,RANDOM_40,0.9997506737709045,0.398364782333374,0.3973214328289032,HIGHLY_IDENTIFIABLE,0.7967632329823712,1,0.9997427463531494,0.6016351580619812,0.6026785969734192,0.867888867855072
0.7497917413711548,ridge_count,0.9997749328613281,ridge_expected,27,RANDOM_40,0.9997763633728027,0.47410815954208374,0.4732142984867096,HIGHLY_IDENTIFIABLE,0.7499594597752736,1,0.9997662901878357,0.5258917808532715,0.5267857313156128,0.8264273405075073
0.8179852962493896,ridge_count,0.9998073577880859,ridge_expected,28,RANDOM_40,0.9998075366020203,0.37845379114151,0.3794642984867096,HIGHLY_IDENTIFIABLE,0.8181427587847779,1,0.9997978210449219,0.6215462684631348,0.6205357313156128,0.8661060929298401
0.8149233460426331,ridge_count,0.9998247027397156,ridge_expected,29,RANDOM_40,0.9998241066932678,0.3603650629520416,0.3571428656578064,HIGHLY_IDENTIFIABLE,0.8150667108216068,1,0.9998502135276794,0.6396349668502808,0.6428571343421936,0.8620675206184387
0.8204938173294067,ridge_count,0.9998143911361694,ridge_expected,30,RANDOM_40,0.9998135566711426,0.4417821168899536,0.4419642984867096,HIGHLY_IDENTIFIABLE,0.820646821454615,1,0.999839186668396,0.5582178831100464,0.5580357313156128,0.8595470190048218
