feature_id,display_name,sample,n_cells,n_nt_units,median_log2fc,n_abs_gt_1
MERTK_nsig_e2_g2,MERTK_nsig_e2_g2,S6,5,13,0.0,8466
MERTK_nsig_e2_g2,MERTK_nsig_e2_g2,S7,7,13,0.0,8351
MERTK_nsig_e2_g3,MERTK_nsig_e2_g3,S1,3,15,0.0,8956
MERTK_nsig_e2_g3,MERTK_nsig_e2_g3,S2,2,12,0.0,9661
MERTK_nsig_e2_g3,MERTK_nsig_e2_g3,S3,3,14,0.0,8924
MERTK_nsig_e2_g3,MERTK_nsig_e2_g3,S4,4,13,0.0,8440
MERTK_nsig_e2_g3,MERTK_nsig_e2_g3,S5,2,15,0.0,9159
MERTK_nsig_e2_g3,MERTK_nsig_e2_g3,S6,4,13,0.0,8530
MERTK_nsig_e2_g3,MERTK_nsig_e2_g3,S7,3,13,0.0,9432
MERTK_nsig_e2_g4,MERTK_nsig_e2_g4,S1,5,15,0.0,8730
MERTK_nsig_e2_g4,MERTK_nsig_e2_g4,S2,4,12,0.0,8959
MERTK_nsig_e2_g4,MERTK_nsig_e2_g4,S3,4,14,0.0,8961
MERTK_nsig_e2_g4,MERTK_nsig_e2_g4,S4,3,13,0.0,9074
MERTK_nsig_e2_g4,MERTK_nsig_e2_g4,S5,2,15,0.0,9281
MERTK_nsig_e2_g4,MERTK_nsig_e2_g4,S6,2,13,0.0,8871
MERTK_nsig_e2_g4,MERTK_nsig_e2_g4,S7,6,13,0.0,8312
MERTK_nsig_e2_g5,MERTK_nsig_e2_g5,S1,14,15,0.0,8279
MERTK_nsig_e2_g5,MERTK_nsig_e2_g5,S2,15,12,0.0,7496
MERTK_nsig_e2_g5,MERTK_nsig_e2_g5,S3,8,14,0.0,8088
MERTK_nsig_e2_g5,MERTK_nsig_e2_g5,S4,13,13,0.0,6461
MERTK_nsig_e2_g5,MERTK_nsig_e2_g5,S5,7,15,0.0,8282
